mgi_symbol	ensembl_gene_id	hgnc_symbol
4933430I17Rik	ENSG00000157653	C9orf43
4933434E20Rik	ENSG00000143612	C1orf43
5730409E04Rik	ENSG00000142686	C1orf216
5730455P16Rik	ENSG00000108666	C17orf75
6030458C11Rik	ENSG00000082213	C5orf22
6030468B19Rik	ENSG00000187997	C17orf99
6430548M08Rik	ENSG00000135709	KIAA0513
6430550D23Rik	ENSG00000125975	C20orf173
6430571L13Rik	ENSG00000088543	C3orf18
6820408C15Rik	ENSG00000196476	C20orf96
9130008F23Rik	ENSG00000197261	C6orf141
9130023H24Rik	ENSG00000185730	ZNF696
9130401M01Rik	ENSG00000189376	C8orf76
9330159F19Rik	ENSG00000189367	KIAA0408
9430015G10Rik	ENSG00000131591	C1orf159
9430038I01Rik	ENSG00000237489	C10orf143
9530068E07Rik	ENSG00000113583	C5orf15
9930012K11Rik	ENSG00000241852	C8orf58
a	ENSG00000101440	ASIP
A130010J15Rik	ENSG00000162757	C1orf74
A1bg	ENSG00000121410	A1BG
A1cf	ENSG00000148584	A1CF
A2m	ENSG00000175899	A2M
A3galt2	ENSG00000184389	A3GALT2
A430005L14Rik	ENSG00000198912	C1orf174
A4galt	ENSG00000128274	A4GALT
A4gnt	ENSG00000118017	A4GNT
A530016L24Rik	ENSG00000184601	C14orf180
A830018L16Rik	ENSG00000165084	C8orf34
A930018P22Rik	ENSG00000205177	C11orf91
AA467197	ENSG00000166920	C15orf48
AA986860	ENSG00000182795	C1orf116
Aaas	ENSG00000094914	AAAS
Aadac	ENSG00000114771	AADAC
Aadacl2	ENSG00000197953	AADACL2
Aadacl3	ENSG00000188984	AADACL3
Aadat	ENSG00000109576	AADAT
Aagab	ENSG00000103591	AAGAB
Aak1	ENSG00000115977	AAK1
Aamdc	ENSG00000087884	AAMDC
Aamp	ENSG00000127837	AAMP
Aanat	ENSG00000129673	AANAT
Aar2	ENSG00000131043	AAR2
Aard	ENSG00000205002	AARD
Aars	ENSG00000090861	AARS1
Aars2	ENSG00000124608	AARS2
Aarsd1	ENSG00000266967	AARSD1
Aasdh	ENSG00000157426	AASDH
Aasdhppt	ENSG00000149313	AASDHPPT
Aass	ENSG00000008311	AASS
Aatf	ENSG00000275700	AATF
Aatk	ENSG00000181409	AATK
AB124611	ENSG00000214212	C19orf38
Abat	ENSG00000183044	ABAT
Abca1	ENSG00000165029	ABCA1
Abca12	ENSG00000144452	ABCA12
Abca13	ENSG00000179869	ABCA13
Abca17	ENSG00000238098	ABCA17P
Abca2	ENSG00000107331	ABCA2
Abca3	ENSG00000167972	ABCA3
Abca4	ENSG00000198691	ABCA4
Abca5	ENSG00000154265	ABCA5
Abca6	ENSG00000154262	ABCA6
Abca7	ENSG00000064687	ABCA7
Abca9	ENSG00000154258	ABCA9
Abcb10	ENSG00000135776	ABCB10
Abcb11	ENSG00000073734	ABCB11
Abcb4	ENSG00000005471	ABCB4
Abcb5	ENSG00000004846	ABCB5
Abcb6	ENSG00000115657	ABCB6
Abcb7	ENSG00000131269	ABCB7
Abcb9	ENSG00000150967	ABCB9
Abcc1	ENSG00000103222	ABCC1
Abcc10	ENSG00000124574	ABCC10
Abcc12	ENSG00000140798	ABCC12
Abcc2	ENSG00000023839	ABCC2
Abcc3	ENSG00000108846	ABCC3
Abcc4	ENSG00000125257	ABCC4
Abcc5	ENSG00000114770	ABCC5
Abcc6	ENSG00000091262	ABCC6
Abcc8	ENSG00000006071	ABCC8
Abcc9	ENSG00000069431	ABCC9
Abcd2	ENSG00000173208	ABCD2
Abcd3	ENSG00000117528	ABCD3
Abcd4	ENSG00000119688	ABCD4
Abce1	ENSG00000164163	ABCE1
Abcf1	ENSG00000204574	ABCF1
Abcf2	ENSG00000033050	ABCF2
Abcf3	ENSG00000161204	ABCF3
Abcg1	ENSG00000160179	ABCG1
Abcg4	ENSG00000172350	ABCG4
Abcg5	ENSG00000138075	ABCG5
Abcg8	ENSG00000143921	ABCG8
Abhd10	ENSG00000144827	ABHD10
Abhd11	ENSG00000106077	ABHD11
Abhd12	ENSG00000100997	ABHD12
Abhd12b	ENSG00000131969	ABHD12B
Abhd13	ENSG00000139826	ABHD13
Abhd14a	ENSG00000248487	ABHD14A
Abhd14b	ENSG00000114779	ABHD14B
Abhd15	ENSG00000168792	ABHD15
Abhd16a	ENSG00000204427	ABHD16A
Abhd16b	ENSG00000183260	ABHD16B
Abhd17a	ENSG00000129968	ABHD17A
Abhd17b	ENSG00000107362	ABHD17B
Abhd17c	ENSG00000136379	ABHD17C
Abhd2	ENSG00000140526	ABHD2
Abhd3	ENSG00000158201	ABHD3
Abhd4	ENSG00000100439	ABHD4
Abhd5	ENSG00000011198	ABHD5
Abhd6	ENSG00000163686	ABHD6
Abhd8	ENSG00000127220	ABHD8
Abi1	ENSG00000136754	ABI1
Abi3	ENSG00000108798	ABI3
Abi3bp	ENSG00000154175	ABI3BP
Abl1	ENSG00000097007	ABL1
Abl2	ENSG00000143322	ABL2
Ablim2	ENSG00000163995	ABLIM2
Ablim3	ENSG00000173210	ABLIM3
Abo	ENSG00000175164	ABO
Abr	ENSG00000159842	ABR
Abra	ENSG00000174429	ABRA
Abracl	ENSG00000146386	ABRACL
Abt1	ENSG00000146109	ABT1
Abtb1	ENSG00000114626	ABTB1
Abtb2	ENSG00000166016	ABTB2
Acaa2	ENSG00000167315	ACAA2
Acaca	ENSG00000278540	ACACA
Acacb	ENSG00000076555	ACACB
Acad11	ENSG00000240303	ACAD11
Acad8	ENSG00000151498	ACAD8
Acad9	ENSG00000177646	ACAD9
Acadl	ENSG00000115361	ACADL
Acadm	ENSG00000117054	ACADM
Acads	ENSG00000122971	ACADS
Acadsb	ENSG00000196177	ACADSB
Acadvl	ENSG00000072778	ACADVL
Acan	ENSG00000157766	ACAN
Acap1	ENSG00000072818	ACAP1
Acap2	ENSG00000114331	ACAP2
Acap3	ENSG00000131584	ACAP3
Acat1	ENSG00000075239	ACAT1
Acbd3	ENSG00000182827	ACBD3
Acbd5	ENSG00000107897	ACBD5
Acbd6	ENSG00000230124	ACBD6
Acbd7	ENSG00000176244	ACBD7
Accs	ENSG00000110455	ACCS
Accsl	ENSG00000205126	ACCSL
Acd	ENSG00000102977	ACD
Ace	ENSG00000159640	ACE
Ace2	ENSG00000130234	ACE2
Acer1	ENSG00000167769	ACER1
Acer2	ENSG00000177076	ACER2
Acer3	ENSG00000078124	ACER3
Ache	ENSG00000087085	ACHE
Acin1	ENSG00000100813	ACIN1
Ackr2	ENSG00000144648	ACKR2
Ackr3	ENSG00000144476	ACKR3
Ackr4	ENSG00000129048	ACKR4
Acly	ENSG00000131473	ACLY
Acmsd	ENSG00000153086	ACMSD
Aco1	ENSG00000122729	ACO1
Aco2	ENSG00000100412	ACO2
Acot11	ENSG00000162390	ACOT11
Acot12	ENSG00000172497	ACOT12
Acot13	ENSG00000112304	ACOT13
Acot2	ENSG00000119673	ACOT2
Acot4	ENSG00000177465	ACOT4
Acot6	ENSG00000205669	ACOT6
Acot7	ENSG00000097021	ACOT7
Acot8	ENSG00000101473	ACOT8
Acox1	ENSG00000161533	ACOX1
Acox2	ENSG00000168306	ACOX2
Acox3	ENSG00000087008	ACOX3
Acoxl	ENSG00000153093	ACOXL
Acp1	ENSG00000143727	ACP1
Acp2	ENSG00000134575	ACP2
Acp5	ENSG00000102575	ACP5
Acp6	ENSG00000162836	ACP6
Acr	ENSG00000100312	ACR
Acrbp	ENSG00000111644	ACRBP
Acsbg1	ENSG00000103740	ACSBG1
Acsbg2	ENSG00000130377	ACSBG2
Acsf2	ENSG00000167107	ACSF2
Acsf3	ENSG00000176715	ACSF3
Acsl1	ENSG00000151726	ACSL1
Acsl3	ENSG00000123983	ACSL3
Acsl4	ENSG00000068366	ACSL4
Acsl5	ENSG00000197142	ACSL5
Acsl6	ENSG00000164398	ACSL6
Acsm1	ENSG00000166743	ACSM1
Acsm3	ENSG00000005187	ACSM3
Acsm4	ENSG00000215009	ACSM4
Acsm5	ENSG00000183549	ACSM5
Acss1	ENSG00000154930	ACSS1
Acss2	ENSG00000131069	ACSS2
Acss3	ENSG00000111058	ACSS3
Acta1	ENSG00000143632	ACTA1
Acta2	ENSG00000107796	ACTA2
Actb	ENSG00000075624	ACTB
Actbl2	ENSG00000169067	ACTBL2
Actc1	ENSG00000159251	ACTC1
Actg1	ENSG00000184009	ACTG1
Actg2	ENSG00000163017	ACTG2
Actl10	ENSG00000288649	ACTL10
Actl6a	ENSG00000136518	ACTL6A
Actl6b	ENSG00000077080	ACTL6B
Actl7a	ENSG00000187003	ACTL7A
Actl7b	ENSG00000148156	ACTL7B
Actl9	ENSG00000181786	ACTL9
Actn1	ENSG00000072110	ACTN1
Actn2	ENSG00000077522	ACTN2
Actn3	ENSG00000248746	ACTN3
Actn4	ENSG00000130402	ACTN4
Actr10	ENSG00000131966	ACTR10
Actr1a	ENSG00000138107	ACTR1A
Actr1b	ENSG00000115073	ACTR1B
Actr2	ENSG00000138071	ACTR2
Actr3	ENSG00000115091	ACTR3
Actr3b	ENSG00000133627	ACTR3B
Actr5	ENSG00000101442	ACTR5
Actr6	ENSG00000075089	ACTR6
Actr8	ENSG00000113812	ACTR8
Actrt1	ENSG00000123165	ACTRT1
Actrt2	ENSG00000169717	ACTRT2
Actrt3	ENSG00000184378	ACTRT3
Acvr1	ENSG00000115170	ACVR1
Acvr1b	ENSG00000135503	ACVR1B
Acvr1c	ENSG00000123612	ACVR1C
Acvr2a	ENSG00000121989	ACVR2A
Acvr2b	ENSG00000114739	ACVR2B
Acvrl1	ENSG00000139567	ACVRL1
Acy1	ENSG00000243989	ACY1
Acy3	ENSG00000132744	ACY3
Acyp1	ENSG00000119640	ACYP1
Acyp2	ENSG00000170634	ACYP2
Ada	ENSG00000196839	ADA
Adad1	ENSG00000164113	ADAD1
Adad2	ENSG00000140955	ADAD2
Adal	ENSG00000168803	ADAL
Adam10	ENSG00000137845	ADAM10
Adam11	ENSG00000073670	ADAM11
Adam12	ENSG00000148848	ADAM12
Adam15	ENSG00000143537	ADAM15
Adam17	ENSG00000151694	ADAM17
Adam18	ENSG00000168619	ADAM18
Adam19	ENSG00000135074	ADAM19
Adam2	ENSG00000104755	ADAM2
Adam21	ENSG00000139985	ADAM21
Adam22	ENSG00000008277	ADAM22
Adam23	ENSG00000114948	ADAM23
Adam28	ENSG00000042980	ADAM28
Adam29	ENSG00000168594	ADAM29
Adam3	ENSG00000197475	ADAM3A
Adam30	ENSG00000134249	ADAM30
Adam32	ENSG00000197140	ADAM32
Adam33	ENSG00000149451	ADAM33
Adam5	ENSG00000196115	ADAM5
Adam6a	ENSG00000271968	ADAM6
Adam7	ENSG00000069206	ADAM7
Adam9	ENSG00000168615	ADAM9
Adamdec1	ENSG00000134028	ADAMDEC1
Adamts1	ENSG00000154734	ADAMTS1
Adamts10	ENSG00000142303	ADAMTS10
Adamts12	ENSG00000151388	ADAMTS12
Adamts13	ENSG00000160323	ADAMTS13
Adamts14	ENSG00000138316	ADAMTS14
Adamts15	ENSG00000166106	ADAMTS15
Adamts16	ENSG00000145536	ADAMTS16
Adamts17	ENSG00000140470	ADAMTS17
Adamts18	ENSG00000140873	ADAMTS18
Adamts19	ENSG00000145808	ADAMTS19
Adamts2	ENSG00000087116	ADAMTS2
Adamts20	ENSG00000173157	ADAMTS20
Adamts3	ENSG00000156140	ADAMTS3
Adamts4	ENSG00000158859	ADAMTS4
Adamts5	ENSG00000154736	ADAMTS5
Adamts6	ENSG00000049192	ADAMTS6
Adamts8	ENSG00000134917	ADAMTS8
Adamtsl1	ENSG00000178031	ADAMTSL1
Adamtsl2	ENSG00000197859	ADAMTSL2
Adamtsl3	ENSG00000156218	ADAMTSL3
Adamtsl4	ENSG00000143382	ADAMTSL4
Adamtsl5	ENSG00000185761	ADAMTSL5
Adap1	ENSG00000105963	ADAP1
Adap2	ENSG00000184060	ADAP2
Adar	ENSG00000160710	ADAR
Adarb1	ENSG00000197381	ADARB1
Adarb2	ENSG00000185736	ADARB2
Adat1	ENSG00000065457	ADAT1
Adat2	ENSG00000189007	ADAT2
Adat3	ENSG00000213638	ADAT3
Adck1	ENSG00000063761	ADCK1
Adck2	ENSG00000133597	ADCK2
Adck5	ENSG00000173137	ADCK5
Adcy1	ENSG00000164742	ADCY1
Adcy2	ENSG00000078295	ADCY2
Adcy3	ENSG00000138031	ADCY3
Adcy4	ENSG00000129467	ADCY4
Adcy5	ENSG00000173175	ADCY5
Adcy6	ENSG00000174233	ADCY6
Adcy7	ENSG00000121281	ADCY7
Adcy8	ENSG00000155897	ADCY8
Adcy9	ENSG00000162104	ADCY9
Adcyap1	ENSG00000141433	ADCYAP1
Adcyap1r1	ENSG00000078549	ADCYAP1R1
Add1	ENSG00000087274	ADD1
Add2	ENSG00000075340	ADD2
Add3	ENSG00000148700	ADD3
Adgb	ENSG00000118492	ADGB
Adgrb1	ENSG00000181790	ADGRB1
Adgrl2	ENSG00000117114	ADGRL2
Adh1	ENSG00000248144	ADH1C
Adh4	ENSG00000198099	ADH4
Adh5	ENSG00000197894	ADH5
Adh7	ENSG00000196344	ADH7
Adhfe1	ENSG00000147576	ADHFE1
Adi1	ENSG00000182551	ADI1
Adig	ENSG00000182035	ADIG
Adipoq	ENSG00000181092	ADIPOQ
Adipor1	ENSG00000159346	ADIPOR1
Adipor2	ENSG00000006831	ADIPOR2
Adk	ENSG00000156110	ADK
Adm	ENSG00000148926	ADM
Adm2	ENSG00000128165	ADM2
Adnp	ENSG00000101126	ADNP
Adnp2	ENSG00000101544	ADNP2
Ado	ENSG00000181915	ADO
Adora1	ENSG00000163485	ADORA1
Adora2a	ENSG00000128271	ADORA2A
Adora2b	ENSG00000170425	ADORA2B
Adora3	ENSG00000282608	ADORA3
Adpgk	ENSG00000159322	ADPGK
Adprh	ENSG00000144843	ADPRH
Adprhl1	ENSG00000153531	ADPRHL1
Adprm	ENSG00000170222	ADPRM
Adra1a	ENSG00000120907	ADRA1A
Adra1b	ENSG00000170214	ADRA1B
Adra1d	ENSG00000171873	ADRA1D
Adra2a	ENSG00000150594	ADRA2A
Adra2b	ENSG00000274286	ADRA2B
Adra2c	ENSG00000184160	ADRA2C
Adrb1	ENSG00000043591	ADRB1
Adrb2	ENSG00000169252	ADRB2
Adrb3	ENSG00000188778	ADRB3
Adrm1	ENSG00000130706	ADRM1
Adsl	ENSG00000239900	ADSL
Adss	ENSG00000035687	ADSS2
Adssl1	ENSG00000185100	ADSS1
Adtrp	ENSG00000111863	ADTRP
Aebp2	ENSG00000139154	AEBP2
Aen	ENSG00000181026	AEN
Afap1	ENSG00000196526	AFAP1
Afap1l1	ENSG00000157510	AFAP1L1
Afap1l2	ENSG00000169129	AFAP1L2
Aff1	ENSG00000172493	AFF1
Aff2	ENSG00000155966	AFF2
Aff3	ENSG00000144218	AFF3
Aff4	ENSG00000072364	AFF4
Afg3l1	ENSG00000223959	AFG3L1P
Afg3l2	ENSG00000141385	AFG3L2
Afm	ENSG00000079557	AFM
Afmid	ENSG00000183077	AFMID
Afp	ENSG00000081051	AFP
Aftph	ENSG00000119844	AFTPH
Aga	ENSG00000038002	AGA
Agap1	ENSG00000157985	AGAP1
Agap2	ENSG00000135439	AGAP2
Agap3	ENSG00000133612	AGAP3
Agbl2	ENSG00000165923	AGBL2
Agbl3	ENSG00000146856	AGBL3
Agbl4	ENSG00000186094	AGBL4
Agbl5	ENSG00000084693	AGBL5
Ager	ENSG00000204305	AGER
Agfg1	ENSG00000173744	AGFG1
Agfg2	ENSG00000106351	AGFG2
Aggf1	ENSG00000164252	AGGF1
Agk	ENSG00000006530	AGK
Agl	ENSG00000162688	AGL
Agmat	ENSG00000116771	AGMAT
Agmo	ENSG00000187546	AGMO
Ago1	ENSG00000092847	AGO1
Ago2	ENSG00000123908	AGO2
Ago3	ENSG00000126070	AGO3
Ago4	ENSG00000134698	AGO4
Agpat1	ENSG00000204310	AGPAT1
Agpat2	ENSG00000169692	AGPAT2
Agpat3	ENSG00000160216	AGPAT3
Agpat4	ENSG00000026652	AGPAT4
Agpat5	ENSG00000155189	AGPAT5
Agps	ENSG00000018510	AGPS
Agr2	ENSG00000106541	AGR2
Agr3	ENSG00000173467	AGR3
Agrn	ENSG00000188157	AGRN
Agrp	ENSG00000159723	AGRP
Agt	ENSG00000135744	AGT
Agtpbp1	ENSG00000135049	AGTPBP1
Agtr2	ENSG00000180772	AGTR2
Agtrap	ENSG00000177674	AGTRAP
Agxt	ENSG00000172482	AGXT
Ahctf1	ENSG00000153207	AHCTF1
Ahcy	ENSG00000101444	AHCY
Ahcyl1	ENSG00000168710	AHCYL1
Ahcyl2	ENSG00000158467	AHCYL2
Ahdc1	ENSG00000126705	AHDC1
Ahi1	ENSG00000135541	AHI1
Ahnak	ENSG00000124942	AHNAK
Ahr	ENSG00000106546	AHR
Ahrr	ENSG00000063438	AHRR
Ahsa2	ENSG00000173209	AHSA2P
Ahsg	ENSG00000145192	AHSG
AI429214	ENSG00000164743	C8orf48
AI467606	ENSG00000185905	C16orf54
AI593442	ENSG00000185742	C11orf87
AI597479	ENSG00000135974	C2orf49
AI661453	ENSG00000188112	C6orf132
AI837181	ENSG00000175573	C11orf68
Aicda	ENSG00000111732	AICDA
Aida	ENSG00000186063	AIDA
Aif1	ENSG00000204472	AIF1
Aif1l	ENSG00000126878	AIF1L
Aifm1	ENSG00000156709	AIFM1
Aifm2	ENSG00000042286	AIFM2
Aifm3	ENSG00000183773	AIFM3
Aim2	ENSG00000163568	AIM2
Aimp1	ENSG00000164022	AIMP1
Aimp2	ENSG00000106305	AIMP2
Aip	ENSG00000110711	AIP
Aipl1	ENSG00000129221	AIPL1
Aire	ENSG00000160224	AIRE
Ajap1	ENSG00000196581	AJAP1
Ajuba	ENSG00000129474	AJUBA
Ak1	ENSG00000106992	AK1
Ak2	ENSG00000004455	AK2
Ak3	ENSG00000147853	AK3
Ak4	ENSG00000162433	AK4
Ak5	ENSG00000154027	AK5
Ak7	ENSG00000140057	AK7
Ak8	ENSG00000165695	AK8
Akap1	ENSG00000121057	AKAP1
Akap10	ENSG00000108599	AKAP10
Akap11	ENSG00000023516	AKAP11
Akap12	ENSG00000131016	AKAP12
Akap13	ENSG00000170776	AKAP13
Akap14	ENSG00000186471	AKAP14
Akap3	ENSG00000111254	AKAP3
Akap4	ENSG00000147081	AKAP4
Akap5	ENSG00000179841	AKAP5
Akap6	ENSG00000151320	AKAP6
Akap7	ENSG00000118507	AKAP7
Akap8l	ENSG00000011243	AKAP8L
Akap9	ENSG00000127914	AKAP9
Akip1	ENSG00000166452	AKIP1
Akirin1	ENSG00000174574	AKIRIN1
Akirin2	ENSG00000135334	AKIRIN2
Aknad1	ENSG00000162641	AKNAD1
Akr1a1	ENSG00000117448	AKR1A1
Akr1c18	ENSG00000196139	AKR1C3
Akr1d1	ENSG00000122787	AKR1D1
Akr1e1	ENSG00000165568	AKR1E2
Akr7a5	ENSG00000053371	AKR7A2
Akt1	ENSG00000142208	AKT1
Akt1s1	ENSG00000204673	AKT1S1
Akt2	ENSG00000105221	AKT2
Akt3	ENSG00000117020	AKT3
Aktip	ENSG00000166971	AKTIP
Alad	ENSG00000148218	ALAD
Alas1	ENSG00000023330	ALAS1
Alas2	ENSG00000158578	ALAS2
Alb	ENSG00000163631	ALB
Alcam	ENSG00000170017	ALCAM
Aldh16a1	ENSG00000161618	ALDH16A1
Aldh18a1	ENSG00000059573	ALDH18A1
Aldh1a2	ENSG00000128918	ALDH1A2
Aldh1a3	ENSG00000184254	ALDH1A3
Aldh1b1	ENSG00000137124	ALDH1B1
Aldh1l1	ENSG00000144908	ALDH1L1
Aldh1l2	ENSG00000136010	ALDH1L2
Aldh2	ENSG00000111275	ALDH2
Aldh3a1	ENSG00000108602	ALDH3A1
Aldh3a2	ENSG00000072210	ALDH3A2
Aldh3b1	ENSG00000006534	ALDH3B1
Aldh4a1	ENSG00000159423	ALDH4A1
Aldh5a1	ENSG00000112294	ALDH5A1
Aldh6a1	ENSG00000119711	ALDH6A1
Aldh7a1	ENSG00000164904	ALDH7A1
Aldh8a1	ENSG00000118514	ALDH8A1
Aldoa	ENSG00000149925	ALDOA
Aldob	ENSG00000136872	ALDOB
Aldoc	ENSG00000109107	ALDOC
Alg1	ENSG00000033011	ALG1
Alg10b	ENSG00000139133	ALG10
Alg11	ENSG00000253710	ALG11
Alg12	ENSG00000182858	ALG12
Alg13	ENSG00000101901	ALG13
Alg14	ENSG00000172339	ALG14
Alg2	ENSG00000119523	ALG2
Alg3	ENSG00000214160	ALG3
Alg5	ENSG00000120697	ALG5
Alg6	ENSG00000088035	ALG6
Alg8	ENSG00000159063	ALG8
Alg9	ENSG00000086848	ALG9
Alk	ENSG00000171094	ALK
Alkbh1	ENSG00000100601	ALKBH1
Alkbh2	ENSG00000189046	ALKBH2
Alkbh3	ENSG00000166199	ALKBH3
Alkbh4	ENSG00000160993	ALKBH4
Alkbh5	ENSG00000091542	ALKBH5
Alkbh6	ENSG00000239382	ALKBH6
Alkbh7	ENSG00000125652	ALKBH7
Alkbh8	ENSG00000137760	ALKBH8
Allc	ENSG00000151360	ALLC
Alms1	ENSG00000116127	ALMS1
Alox12	ENSG00000108839	ALOX12
Alox12b	ENSG00000179477	ALOX12B
Alox15	ENSG00000161905	ALOX15
Alox5	ENSG00000012779	ALOX5
Alox5ap	ENSG00000132965	ALOX5AP
Alox8	ENSG00000179593	ALOX15B
Aloxe3	ENSG00000179148	ALOXE3
Alpi	ENSG00000163295	ALPI
Alpk1	ENSG00000073331	ALPK1
Alpk2	ENSG00000198796	ALPK2
Alpk3	ENSG00000136383	ALPK3
Alpl	ENSG00000162551	ALPL
Als2	ENSG00000003393	ALS2
