id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Type	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	lfc.zs	lfc.zs.rank	lfc.zs.rank.perc
AADAT	ENSG00000109576	AADAT	51166	AADAT	Tregs	16	0.080121	0.27947	0.999924	5052	5	0.0099027	0.70626	0.91029	1	17396	5	0.0099027	0.108775895307428	10272	0.530499457672641
AAED1	ENSG00000158122	PRXL2C	195827	PRXL2C	Tregs	16	0.0088603	0.051254	0.834242	1177	7	-0.075552	0.26645	0.59048	1	11350	4	-0.075552	-0.603898237352286	4540	0.234440369815609
AAGAB	ENSG00000103591	AAGAB	79719	AAGAB	Tregs	16	0.5392	0.82304	0.999924	15394	5	0.011292	0.11494	0.35737	0.997127	6897	3	0.011292	0.120362363605885	10394	0.536800785083415
AAK1	ENSG00000115977	AAK1	22848	AAK1	Tregs	16	0.065851	0.24636	0.999924	4479	8	-0.24399	0.52478	0.81915	1	15653	4	-0.24399	-2.00863554913194	544	0.0280460720004132
AAMDC	ENSG00000087884	AAMDC	28971	AAMDC	Tregs	16	0.10512	0.33448	0.999924	6019	7	-0.053765	0.35201	0.68495	1	13118	4	-0.053765	-0.422199263179336	5752	0.297040442125923
AAMP	ENSG00000127837	AAMP	14	AAMP	Tregs	16	0.53205	0.81915	0.999924	15315	3	0.084678	0.13847	0.40326	0.997127	7785	6	0.084678	0.732386089619385	15234	0.786787872527245
AANAT	ENSG00000129673	AANAT	15	AANAT	Tregs	16	0.018572	0.094155	0.946539	1912	9	-0.13407	0.085886	0.29647	0.9896	5777	7	-0.13407	-1.09192598649869	2229	0.115076700583648
AAR2	ENSG00000131043	AAR2	25980	AAR2	Tregs	16	0.40506	0.72454	0.999924	13449	6	-0.084732	0.65992	0.88806	1	16977	3	-0.084732	-0.680457496677007	4064	0.209854862868653
AARD	ENSG00000205002	AARD	441376	AARD	Tregs	16	0.16956	0.45592	0.999924	8290	3	0.07875	0.29469	0.62441	1	11941	5	0.07875	0.682947822813618	14916	0.77036310107949
AARS	ENSG00000090861	AARS1	16	AARS1	Tregs	16	4.0457e-07	6.392e-06	0.002427	48	8	-0.19987	0.34873	0.68223	1	13065	4	-0.19987	-1.64068407621183	944.5	0.0487061618718041
AARS2	ENSG00000124608	AARS2	57505	AARS2	Tregs	16	0.11163	0.3482	0.999924	6281	7	0.063851	0.098742	0.32398	0.992303	6304	6	0.063851	0.558693312500001	14047.5	0.725479055833893
AARSD1	ENSG00000266967	AARSD1	80755	AARSD1	Tregs	16	0.0090334	0.052077	0.834242	1199	9	-0.19819	0.84004	0.95724	1	18337	3	-0.19819	-1.62667323136809	965	0.0497908165900522
AASDH	ENSG00000157426	AASDH	132949	AASDH	Tregs	16	0.1491	0.42255	0.999924	7658	8	-0.093451	0.44461	0.75962	1	14547	6	-0.093451	-0.753172113458296	3643	0.188110118279015
AASDHPPT	ENSG00000149313	AASDHPPT	60496	AASDHPPT	Tregs	16	0.011467	0.063249	0.873387	1393	8	-0.1916	0.83996	0.95722	1	18335	3	-0.1916	-1.5717140245108	1054	0.0543876865864367
AASS	ENSG00000008311	AASS	10157	AASS	Tregs	16	0.24391	0.55933	0.999924	10240	6	0.010216	0.14207	0.41006	0.997127	7911	6	0.010216	0.111388751075014	10292	0.53153246216621
AATF	ENSG00000275700	AATF	26574	AATF	Tregs	16	0.64512	0.87873	0.999924	16616	5	0.033128	0.41339	0.73525	1	14076	6	0.033128	0.302469987420111	11979	0.618666391198802
AATK	ENSG00000181409	AATK	9625	AATK	Tregs	16	0.5639	0.83621	0.999924	15681	5	0.0067578	0.057991	0.22441	0.985541	4376	6	0.0067578	0.0825480941472636	10059	0.519497959816125
ABAT	ENSG00000183044	ABAT	18	ABAT	Tregs	16	0.039236	0.16651	0.999924	3113	7	-0.064173	0.67084	0.89329	1	17071	5	-0.064173	-0.508999782901743	5149	0.265895356644801
ABCA1	ENSG00000165029	ABCA1	19	ABCA1	Tregs	16	0.64401	0.87818	0.999924	16606	5	0.043459	0.12204	0.37153	0.997127	7159	7	0.043459	0.388628343420513	12697	0.655751252517948
ABCA10	ENSG00000154263	ABCA10	10349	ABCA10	Tregs	16	0.060609	0.23149	0.999924	4187	8	-0.034242	0.26866	0.59309	1	11392	6	-0.034242	-0.259381570391045	7116	0.367491348587366
ABCA12	ENSG00000144452	ABCA12	26154	ABCA12	Tregs	16	0.18603	0.47974	0.999924	8758	7	-0.11659	0.15531	0.43467	0.998225	8395	6	-0.11659	-0.946146481815018	2769	0.142967821910025
ABCA13	ENSG00000179869	ABCA13	154664	ABCA13	Tregs	16	0.84127	0.9568	0.999924	18313	3	-0.0031018	0.20151	0.50679	0.999522	9783	5	-0.0031018	0.000321114491706676	9330	0.481844946025515
ABCA2	ENSG00000107331	ABCA2	20	ABCA2	Tregs	12	0.43052	0.71666	0.999924	13875	3	0.33749	0.011448	0.057638	0.937436	1306	8	0.33749	2.84078472452148	19321	0.997882340788182
ABCA3	ENSG00000167972	ABCA3	21	ABCA3	Tregs	16	0.0048866	0.031392	0.712229	845	6	0.10825	0.047899	0.19463	0.983618	3810	8	0.10825	0.928971586438809	16363	0.845100976189246
ABCA4	ENSG00000198691	ABCA4	24	ABCA4	Tregs	16	0.49458	0.79654	0.999924	14857	5	-0.032579	0.17702	0.47313	0.998476	9107	5	-0.032579	-0.245512501953462	7226	0.373172873301999
ABCA5	ENSG00000154265	ABCA5	23461	ABCA5	Tregs	16	0.34784	0.67515	0.999924	12465	5	-0.019596	0.8466	0.95942	1	18369	4	-0.019596	-0.137237026592586	8158	0.42131088270234
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	Tregs	16	0.17889	0.46954	0.999924	8557	5	0.0549	0.21567	0.52577	1	10138	5	0.0549	0.4840438647641	13483	0.696348329115232
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	Tregs	16	0.82193	0.94992	0.999924	18146	4	0.15442	0.025642	0.12307	0.970142	2448	9	0.15442	1.31401962598373	17929	0.925985228035742
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	Tregs	16	0.77817	0.93452	0.999924	17790	4	-0.013485	0.4881	0.79244	1	15193	5	-0.013485	-0.0862725784734825	8617	0.445018335829761
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	Tregs	16	0.10269	0.32934	0.999924	5927	7	-0.060319	0.061282	0.23392	0.987154	4564	7	-0.060319	-0.476858237647116	5378	0.277723258096173
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	Tregs	16	0.32862	0.65798	0.999924	12130	5	0.089378	0.049289	0.19884	0.98412	3886	7	0.089378	0.771583096027467	15480	0.799493827798151
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	Tregs	16	0.50153	0.80182	0.999924	14955	5	0.041021	0.39951	0.72398	1	13854	6	0.041021	0.368295938819895	12538	0.647538866794071
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	Tregs	16	0.25479	0.5735	0.999924	10515	6	-0.02093	0.83875	0.95685	1	18326	4	-0.02093	-0.148362304581603	8052.5	0.415835958886421
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	Tregs	16	0.035481	0.15428	0.999924	2894	7	-0.11122	0.5671	0.84264	1	16113	4	-0.11122	-0.901361817046636	2944	0.152006611228759
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	Tregs	12	0.18818	0.45461	0.999924	8817	6	-0.1144	0.65384	0.86309	1	16926	4	-0.1144	-0.927882344786572	2844.5	0.146841588760911
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	Tregs	16	0.23544	0.54818	0.999924	10032	7	0.15228	0.056688	0.22067	0.985541	4296	9	0.15228	1.29617247838515	17880	0.923454367026497
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	Tregs	16	0.073432	0.26419	0.999924	4782	5	0.1057	0.059668	0.22924	0.986037	4469	7	0.1057	0.907705125515276	16253.5	0.839419451474614
ABCB8	ENSG00000197150	ABCB8	11194	ABCB8	Tregs	16	0.5834	0.84659	0.999924	15914	5	0.049998	0.28496	0.61287	1	11738	4	0.049998	0.443162221059331	13151	0.679200454521977
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	Tregs	16	0.016001	0.083255	0.925303	1723	6	-0.11398	0.52057	0.81615	1	15610	4	-0.11398	-0.924379633575637	2858	0.14756469190641
ABCC1	ENSG00000103222	ABCC1	4363	ABCC1	Tregs	16	0.44442	0.75697	0.999924	14077	5	0.061292	0.52199	0.81715	1	15625	5	0.061292	0.53735179347909	13883	0.717008418986623
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	Tregs	16	0.15062	0.42545	0.999924	7718	7	-0.058139	0.28952	0.6183	1	11837	6	-0.058139	-0.458677498504644	5498	0.28392128505759
ABCC11	ENSG00000121270	ABCC11	85320	ABCC11	Tregs	16	0.44342	0.75614	0.999924	14067	3	0.080412	0.30701	0.63873	1	12226	7	0.080412	0.696808551462604	15007	0.775063271525231
ABCC12	ENSG00000140798	ABCC12	94160	ABCC12	Tregs	16	0.044158	0.18205	0.999924	3370	9	-0.10943	0.23909	0.55631	1	10689	5	-0.10943	-0.886433595457175	3002.5	0.155002324260111
ABCC2	ENSG00000023839	ABCC2	1244	ABCC2	Tregs	16	0.23865	0.55252	0.999924	10105	6	-0.024367	0.37478	0.70387	1	13453	6	-0.024367	-0.177026157991087	7833	0.404524559681835
ABCC3	ENSG00000108846	ABCC3	8714	ABCC3	Tregs	16	0.031565	0.14137	0.999924	2697	9	-0.14589	0.39848	0.72317	1	13841	6	-0.14589	-1.19050228772072	1923	0.0992717318320335
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	Tregs	16	0.50982	0.80721	0.999924	15068	4	0.047706	0.4185	0.73921	1	14156	6	0.047706	0.424047425593943	12984	0.670574867000671
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	Tregs	16	0.87901	0.96834	0.999924	18612	3	-0.015387	0.2571	0.57888	1	11131	7	-0.015387	-0.102134856385859	8465	0.437167501678632
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	Tregs	16	0.3864	0.70873	0.999924	13113	5	0.16168	0.045054	0.18609	0.98086	3650	9	0.16168	1.37456649120132	18091.5	0.934352564433655
ABCC8	ENSG00000006071	ABCC8	6833	ABCC8	Tregs	16	0.22346	0.53203	0.999924	9748	7	-0.12268	0.12832	0.38371	0.997127	7396	5	-0.12268	-0.996935794373574	2561	0.132224575176902
ABCC9	ENSG00000069431	ABCC9	10060	ABCC9	Tregs	16	0.8086	0.94514	0.999924	18032	3	0.16665	0.026736	0.12734	0.970215	2522	8	0.16665	1.41601524053071	18185	0.939207685553432
ABCD1	ENSG00000101986	ABCD1	215	ABCD1	Tregs	16	0.45338	0.76418	0.999924	14228	5	0.027123	0.016245	0.084677	0.941725	1724	5	0.027123	0.252389556892339	11537	0.595836991890915
ABCD2	ENSG00000173208	ABCD2	225	ABCD2	Tregs	16	0.10713	0.33875	0.999924	6103	8	-0.10049	0.056016	0.21866	0.985541	4253	3	-0.10049	-0.811875885395846	3341	0.172511750426114
ABCD3	ENSG00000117528	ABCD3	5825	ABCD3	Tregs	16	0.48276	0.78732	0.999924	14693	3	0.22699	0.0060933	0.038206	0.937436	777	9	0.22699	1.9192380845017	18996	0.981096017767677
ABCD4	ENSG00000119688	ABCD4	5826	ABCD4	Tregs	16	0.2638	0.58499	0.999924	10748	5	-0.00056387	0.40959	0.73218	1	14012	4	-0.00056387	0.0214869141668687	9536	0.492484892309282
ABCE1	ENSG00000164163	ABCE1	6059	ABCE1	Tregs	16	0.11042	0.34568	0.999924	6229	7	-0.073151	0.94492	0.98574	1	18934	3	-0.073151	-0.583874404929775	4675	0.241413150147203
ABCF1	ENSG00000204574	ABCF1	23	ABCF1	Tregs	16	6.1664e-06	7.4403e-05	0.016007	89	12	-0.33193	0.97171	0.99205	1	19103	1	-0.33193	-2.74203655839294	208	0.0106915965084448
ABCF2	ENSG00000033050	ABCF2	10061	ABCF2	Tregs	16	0.45647	0.76667	0.999924	14278	6	0.0093027	0.10849	0.34426	0.996013	6653	6	0.0093027	0.10377202214895	10231	0.528381798460823
ABCF3	ENSG00000161204	ABCF3	55324	ABCF3	Tregs	16	0.25617	0.57526	0.999924	10546	5	0.0043608	0.16217	0.44712	0.998476	8627	5	0.0043608	0.0625576208791422	9900	0.511285574092247
ABCG1	ENSG00000160179	ABCG1	9619	ABCG1	Tregs	16	0.29944	0.62923	0.999924	11567	5	0.069349	0.47726	0.78434	1	15023	6	0.069349	0.604545470208858	14383	0.742833531325861
ABCG2	ENSG00000118777	ABCG2	9429	ABCG2	Tregs	16	0.61385	0.86259	0.999924	16263	5	-0.038548	0.58956	0.85377	1	16334	5	-0.038548	-0.295292700091725	6848	0.353649088373534
ABCG4	ENSG00000172350	ABCG4	64137	ABCG4	Tregs	16	0.053886	0.21166	0.999924	3870	7	-0.11554	0.98465	0.99488	1	19182	2	-0.11554	-0.937389703787681	2809	0.145033830897164
ABCG5	ENSG00000138075	ABCG5	64240	ABCG5	Tregs	16	0.043633	0.18043	0.999924	3344	3	0.11901	0.13152	0.38987	0.997127	7516	7	0.11901	1.01870771174752	16822	0.868808429316668
ABCG8	ENSG00000143921	ABCG8	64241	ABCG8	Tregs	16	0.092211	0.30663	0.999924	5530	6	-0.05003	0.97542	0.99274	1	19122	2	-0.05003	-0.391050152767808	6003	0.310004648520221
ABHD1	ENSG00000143994	ABHD1	84696	ABHD1	Tregs	16	0.24806	0.56485	0.999924	10338	4	0.013038	0.71953	0.91665	1	17507	5	0.013038	0.134923634497058	10541	0.544393368111151
ABHD10	ENSG00000144827	ABHD10	55347	ABHD10	Tregs	16	0.80149	0.94262	0.999924	17987	3	0.069125	0.058397	0.2256	0.985541	4408	6	0.069125	0.602677357563026	14367	0.742007127731006
ABHD11	ENSG00000106077	ABHD11	83451	ABHD11	Tregs	16	0.86117	0.96406	0.999924	18517	2	0.15318	0.00086338	0.0069834	0.853632	149	10	0.15318	1.30367828812287	17904	0.92469397241878
ABHD12	ENSG00000100997	ABHD12	26090	ABHD12	Tregs	16	0.67794	0.89563	0.999924	16960	4	0.021535	0.1703	0.46164	0.998476	8886	6	0.021535	0.20578681820971	11151	0.575900005165022
ABHD12B	ENSG00000131969	ABHD12B	145447	ABHD12B	Tregs	16	0.17034	0.45704	0.999924	8312	6	0.088662	0.45512	0.76771	1	14691	6	0.088662	0.765611807391682	15449	0.797892670833118
ABHD13	ENSG00000139826	ABHD13	84945	ABHD13	Tregs	16	0.017125	0.088056	0.937911	1802	7	-0.025042	0.0034308	0.02317	0.895921	497	6	-0.025042	-0.182655515294375	7786.5	0.402096999121946
ABHD14A	ENSG00000248487	ABHD14A	25864	ABHD14A	Tregs	16	0.054228	0.21264	0.999924	3886	6	-0.055006	0.05894	0.22715	0.986037	4433	5	-0.055006	-0.432548940828789	5681	0.293373276173751
ABHD14B	ENSG00000114779	ABHD14B	84836	ABHD14B	Tregs	16	0.74858	0.92424	0.999924	17577	2	0.025016	0.018415	0.093778	0.951425	1888	7	0.025016	0.234817622317483	11402	0.58886421155932
ABHD15	ENSG00000168792	ABHD15	116236	ABHD15	Tregs	16	0.70469	0.90913	0.999924	17248	3	0.15451	0.066816	0.24943	0.988165	4854	9	0.15451	1.3147702069575	17931	0.926088528485099
ABHD16A	ENSG00000204427	ABHD16A	7920	ABHD16A	Tregs	16	0.37529	0.69913	0.999924	12950	4	0.06857	0.27634	0.60241	1	11568	7	0.06857	0.598048774891434	14335	0.740354320541294
ABHD16B	ENSG00000183260	ABHD16B	140701	ABHD16B	Tregs	16	0.78597	0.93725	0.999924	17860	3	0.083139	0.070648	0.25999	0.988165	5056	6	0.083139	0.719551154967888	15148	0.782345953204896
ABHD17A	ENSG00000129968	ABHD17A	81926	ABHD17A	Tregs	16	0.0060043	0.037642	0.756034	958	6	0.049508	0.32909	0.66383	1	12720	4	0.049508	0.439075724646573	13118	0.677495997107587
ABHD17B	ENSG00000107362	ABHD17B	51104	ABHD17B	Tregs	16	0.054073	0.2122	0.999924	3878	8	-0.059265	0.05134	0.20487	0.98412	4001	7	-0.059265	-0.468068100465389	5441	0.280977222250917
ABHD17C	ENSG00000136379	ABHD17C	58489	ABHD17C	Tregs	16	0.30119	0.63132	0.999924	11606	5	0.05545	0.15224	0.42905	0.997838	8284	7	0.05545	0.488630748492705	13512	0.697846185630908
ABHD2	ENSG00000140526	ABHD2	11057	ABHD2	Tregs	16	0.5991	0.85486	0.999924	16079	5	-0.093726	0.10938	0.34606	0.996013	6696	6	-0.093726	-0.755465555322599	3632	0.187541965807551
ABHD3	ENSG00000158201	ABHD3	171586	ABHD3	Tregs	16	0.49891	0.79983	0.999924	14915	4	0.089026	0.29641	0.6265	1	11971	6	0.089026	0.768647490441159	15466	0.798770724652652
ABHD4	ENSG00000100439	ABHD4	63874	ABHD4	Tregs	16	0.028473	0.131	0.992828	2543	4	0.040722	0.012767	0.069768	0.937436	1424	6	0.040722	0.365802342029254	12515	0.646350911626466
ABHD5	ENSG00000011198	ABHD5	51099	ABHD5	Tregs	16	0.46203	0.77103	0.999924	14371	5	0.084823	0.071418	0.26213	0.988165	5103	8	0.084823	0.733595358966018	15245	0.787356024998709
ABHD6	ENSG00000163686	ABHD6	57406	ABHD6	Tregs	16	0.76952	0.93146	0.999924	17723	3	0.18819	0.01442	0.076925	0.941456	1570	9	0.18819	1.59565428692009	18565	0.958834770931254
ABHD8	ENSG00000127220	ABHD8	79575	ABHD8	Tregs	16	0.39376	0.71499	0.999924	13245	5	0.092114	0.071818	0.26325	0.988165	5133	7	0.092114	0.794400757630128	15624	0.806931460151852
ABI1	ENSG00000136754	ABI1	10006	ABI1	Tregs	16	0.61418	0.86275	0.999924	16268	3	-0.039536	0.0046258	0.030055	0.927537	617	7	-0.039536	-0.30353241122602	6765	0.349362119725221
ABI2	ENSG00000138443	ABI2	10152	ABI2	Tregs	16	0.10123	0.32619	0.999924	5867	8	-0.14682	0.529	0.82214	1	15717	3	-0.14682	-1.19825829111636	1897	0.0978771757657146
ABI3	ENSG00000108798	ABI3	51225	ABI3	Tregs	16	0.066613	0.24816	0.999924	4520	7	-0.050487	0.12979	0.3865	0.997127	7448	5	-0.050487	-0.394861436156849	5965	0.308041939982439
ABI3BP	ENSG00000154175	ABI3BP	25890	ABI3BP	Tregs	16	0.23355	0.54561	0.999924	9988	6	-0.12703	0.53464	0.82616	1	15801	4	-0.12703	-1.03321387477254	2428	0.125355095294665
ABL1	ENSG00000097007	ABL1	25	ABL1	Tregs	16	0.060593	0.23145	0.999924	4186	8	-0.11446	0.94595	0.98606	1	18940	2	-0.11446	-0.928382732102419	2841	0.146686638086876
ABL2	ENSG00000143322	ABL2	27	ABL2	Tregs	16	0.49983	0.80052	0.999924	14932	5	0.10049	0.037856	0.16375	0.977849	3223	8	0.10049	0.864254826922488	16013.5	0.827023397551779
ABLIM1	ENSG00000099204	ABLIM1	3983	ABLIM1	Tregs	16	0.57669	0.84308	0.999924	15828	5	0.17945	0.060391	0.23131	0.986992	4511	9	0.17945	1.52276453457825	18420	0.951345488352874
ABLIM2	ENSG00000163995	ABLIM2	84448	ABLIM2	Tregs	16	0.34733	0.67472	0.999924	12452	6	0.15339	0.037338	0.16207	0.977849	3191	9	0.15339	1.30542964372834	17910	0.925003873766851
ABLIM3	ENSG00000173210	ABLIM3	22885	ABLIM3	Tregs	16	0.013851	0.073862	0.903997	1564	10	-0.12015	0.84027	0.95731	1	18340	3	-0.12015	-0.97583612922199	2645	0.136563194049894
ABO	ENSG00000175164	ABO	28	ABO	Tregs	16	0.20758	0.5103	0.999924	9345	6	-0.080847	0.64427	0.88046	1	16828	4	-0.080847	-0.648057417975859	4261	0.220029957130314
ABR	ENSG00000159842	ABR	29	ABR	Tregs	16	0.93788	0.98321	0.999924	18931	1	0.29501	0.002204	0.015909	0.874257	351	11	0.29501	2.4865105049012	19250	0.994215174836011
ABRA	ENSG00000174429	ABRA	137735	ABRA	Tregs	16	0.38676	0.70903	0.999924	13121	6	-0.07724	0.17984	0.47706	0.998476	9194	6	-0.07724	-0.617975800504806	4450	0.229791849594546
ABRACL	ENSG00000146386	ABRACL	58527	ABRACL	Tregs	16	0.043848	0.18111	0.999924	3357	8	-0.14917	0.12129	0.37002	0.997127	7123	6	-0.14917	-1.2178567943204	1832	0.094571561386292
ABT1	ENSG00000146109	ABT1	29777	ABT1	Tregs	12	0.016693	0.078159	0.913056	1777	7	-0.24947	0.12426	0.34937	0.996657	7246	4	-0.24947	-2.05433759064605	513	0.0264449150353804
ABTB1	ENSG00000114626	ABTB1	80325	ABTB1	Tregs	16	0.028054	0.1296	0.992828	2511	9	-0.23992	0.074942	0.27172	0.988165	5306	4	-0.23992	-1.97469260954026	575	0.029647228965446
ABTB2	ENSG00000166016	ABTB2	25841	ABTB2	Tregs	16	0.16631	0.45113	0.999924	8210	4	0.096682	0.030729	0.1407	0.977376	2775	7	0.096682	0.832496911943344	15850	0.818604410929188
ACAA1	ENSG00000060971	ACAA1	30	ACAA1	Tregs	16	0.19902	0.49824	0.999924	9095	6	-0.070748	0.87289	0.96839	1	18542	4	-0.070748	-0.563833892930069	4797	0.247714477557977
ACAA2	ENSG00000167315	ACAA2	10449	ACAA2	Tregs	16	0.12585	0.37716	0.999924	6808	7	0.087927	0.17466	0.4693	0.998476	9044	8	0.087927	0.759482062772546	15404	0.795568410722587
ACACA	ENSG00000278540	ACACA	31	ACACA	Tregs	16	0.83417	0.95433	0.999924	18253	2	0.18608	0.013704	0.073773	0.937436	1503	9	0.18608	1.57805733297944	18539	0.957491865089613
ACACB	ENSG00000076555	ACACB	32	ACACB	Tregs	16	0.041269	0.17296	0.999924	3207	2	0.12292	0.065077	0.24453	0.988165	4764	8	0.12292	1.05131628516361	16966.5	0.876246061670368
ACAD10	ENSG00000111271	ACAD10	80724	ACAD10	Tregs	16	0.83686	0.9553	0.999924	18277	3	0.20253	0.005043	0.032336	0.931688	670	8	0.20253	1.71524685540772	18740	0.967873560249987
ACAD11	ENSG00000240303	ACAD11	84129	ACAD11	Tregs	16	0.34228	0.67027	0.999924	12358	6	-0.059895	0.2274	0.54113	1	10387	5	-0.059895	-0.473322167281791	5394	0.278549661691028
ACAD8	ENSG00000151498	ACAD8	27034	ACAD8	Tregs	16	0.25831	0.57798	0.999924	10599	7	-0.056216	0.72341	0.91847	1	17543	5	-0.056216	-0.442640085031721	5619	0.290170962243686
ACAD9	ENSG00000177646	ACAD9	28976	ACAD9	Tregs	16	0.075787	0.26964	0.999924	4879	7	0.035593	0.17428	0.46865	0.998476	9024	8	0.035593	0.32302756631286	12168	0.628428283663034
ACADL	ENSG00000115361	ACADL	33	ACADL	Tregs	16	0.26011	0.58029	0.999924	10650	7	-0.0617	0.089635	0.30462	0.991978	5919	6	-0.0617	-0.488375485700214	5308	0.274107742368679
ACADM	ENSG00000117054	ACADM	34	ACADM	Tregs	16	0.39554	0.7165	0.999924	13270	5	-0.049236	0.080645	0.28495	0.9896	5551	5	-0.049236	-0.384428360621421	6039	0.311864056608646
ACADS	ENSG00000122971	ACADS	35	ACADS	Tregs	16	0.225	0.53408	0.999924	9787	6	0.0032442	0.23915	0.55639	1	10693	7	0.0032442	0.0532454129312138	9822	0.507256856567326
ACADSB	ENSG00000196177	ACADSB	36	ACADSB	Tregs	16	0.23598	0.54891	0.999924	10038	5	0.014787	0.53244	0.82459	1	15768	5	0.014787	0.149509924754022	10663	0.550694695521926
ACADVL	ENSG00000072778	ACADVL	37	ACADVL	Tregs	16	0.4253	0.74134	0.999924	13785	6	-0.10695	0.10812	0.34347	0.996013	6643	2	-0.10695	-0.865750919735464	3100.5	0.160064046278601
ACAN	ENSG00000157766	ACAN	176	ACAN	Tregs	16	0.051122	0.20328	0.999924	3726	7	-0.070016	0.031138	0.14204	0.977376	2798	5	-0.070016	-0.557729167676725	4833	0.249573885646403
ACAP1	ENSG00000072818	ACAP1	9744	ACAP1	Tregs	16	0.1998	0.49932	0.999924	9117	6	-0.04156	0.64933	0.88296	1	16886	5	-0.04156	-0.320412143347287	6594	0.340529931305201
ACAP2	ENSG00000114331	ACAP2	23527	ACAP2	Tregs	16	0.42623	0.7421	0.999924	13799	6	-0.023059	0.29947	0.63004	1	12040	4	-0.023059	-0.166117714505604	7918	0.408914828779505
ACAP3	ENSG00000131584	ACAP3	116983	ACAP3	Tregs	16	0.16978	0.45624	0.999924	8297	4	0.017906	0.32922	0.66397	1	12727	7	0.017906	0.175521725389513	10893	0.562574247197975
