id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Type	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	lfc.zs	lfc.zs.rank	lfc.zs.rank.perc
ABCA6	ENSG00000154262	ABCA6	23460	ABCA6	Stim	16	0.8579	0.96118	1	18278	3	0.10277	0.0082515	0.048827	0.841904	1117	8	0.10277	0.883029504342477	16392.5	0.846598832704922
ABCA7	ENSG00000064687	ABCA7	10347	ABCA7	Stim	16	0.54692	0.82253	1	15132	5	0.0029915	0.017791	0.091052	0.909813	1920	6	0.0029915	0.046794516200621	9514	0.491348587366355
ABCA8	ENSG00000141338	ABCA8	10351	ABCA8	Stim	16	0.37944	0.69883	1	12604	4	0.12492	0.15447	0.43289	1	8324	8	0.12492	1.06866674069442	17285	0.892722483342803
ABCA9	ENSG00000154258	ABCA9	10350	ABCA9	Stim	16	0.34248	0.66502	1	11938	6	0.0036264	0.52739	0.82055	1	15475	5	0.0036264	0.0521155582484696	9574	0.494447600847064
ABCB1	ENSG00000085563	ABCB1	5243	ABCB1	Stim	16	0.15701	0.43118	1	7563	7	-0.0248	0.0084353	0.04975	0.843036	1134	3	-0.0248	-0.18612364425423	7331	0.378596146893239
ABCB10	ENSG00000135776	ABCB10	23456	ABCB10	Stim	16	0.21548	0.51801	1	9158	1	0.13506	0.005106	0.032662	0.820427	765	10	0.13506	1.15364920464966	17608	0.909405505913951
ABCB11	ENSG00000073734	ABCB11	8647	ABCB11	Stim	16	0.025002	0.11718	0.996151	2264	7	-0.022743	0.25395	0.57397	1	10972	5	-0.022743	-0.168884104968635	7499	0.387273384639223
ABCB4	ENSG00000005471	ABCB4	5244	ABCB4	Stim	16	0.049544	0.19805	1	3533	7	-0.02952	0.22497	0.53644	1	10259	4	-0.02952	-0.225681556470084	6968	0.359847115334952
ABCB5	ENSG00000004846	ABCB5	340273	ABCB5	Stim	12	0.0067735	0.03673	0.668582	1112	7	-0.20058	0.93526	0.97252	1	18770	1	-0.20058	-1.65932063775058	895	0.0461753008625587
ABCB6	ENSG00000115657	ABCB6	10058	ABCB6	Stim	16	0.97904	0.99251	1	19128	2	0.029825	0.32443	0.6585	1	12502	7	0.029825	0.271683761421831	11662	0.602293269975724
ABCB7	ENSG00000131269	ABCB7	22	ABCB7	Stim	16	9.5037e-07	1.1506e-05	0.002122	103	10	-0.39202	0.47898	0.78511	1	14795	3	-0.39202	-3.26376273830207	165	0.00847063684727029
ABCB8	ENSG00000197150	ABCB8	11194	ABCB8	Stim	16	0.40759	0.72389	1	13098	5	0.01356	0.088948	0.30176	0.983499	5922	6	0.01356	0.135368201635632	10367	0.535406229017096
ABCB9	ENSG00000150967	ABCB9	23457	ABCB9	Stim	16	0.016168	0.083768	0.912727	1766	10	-0.22783	0.72021	0.9169	1	17318	2	-0.22783	-1.88770053348829	664	0.0342440989618305
ABCC1	ENSG00000103222	ABCC1	4363	ABCC1	Stim	16	0.61594	0.86142	1	15990	4	-0.018129	0.46515	0.77454	1	14591	5	-0.018129	-0.130214569594917	7848	0.405299313052012
ABCC10	ENSG00000124574	ABCC10	89845	ABCC10	Stim	16	0.39028	0.70851	1	12799	6	0.20583	0.023942	0.1163	0.93722	2386	9	0.20583	1.74676646047932	18920	0.977170600692113
ABCC11	ENSG00000121270	ABCC11	85320	ABCC11	Stim	16	0.067944	0.24733	1	4303	7	-0.081181	0.55652	0.83542	1	15794	4	-0.081181	-0.658647934220766	3837	0.198130261866639
ABCC12	ENSG00000140798	ABCC12	94160	ABCC12	Stim	16	0.44871	0.75907	1	13842	6	-0.0010151	0.046436	0.18973	0.96454	3783	6	-0.0010151	0.0132155477506126	9205	0.475388667940706
ABCC2	ENSG00000023839	ABCC2	1244	ABCC2	Stim	16	0.39437	0.7122	1	12895	6	-0.0616	0.15586	0.43543	1	8372	6	-0.0616	-0.494541264920209	4875	0.251743195082899
ABCC3	ENSG00000108846	ABCC3	8714	ABCC3	Stim	16	0.41585	0.73112	1	13244	3	0.22029	0.0018913	0.013902	0.737447	365	10	0.22029	1.86795447120839	19036	0.983162026754816
ABCC4	ENSG00000125257	ABCC4	10257	ABCC4	Stim	16	0.56958	0.83542	1	15415	4	0.083735	0.20407	0.50835	1	9750	7	0.083735	0.723498813870279	15454	0.79815092195651
ABCC5	ENSG00000114770	ABCC5	10057	ABCC5	Stim	16	0.0094616	0.053445	0.793546	1297	7	-0.088989	0.31847	0.65169	1	12360	4	-0.088989	-0.724086107649026	3483	0.179846082330458
ABCC6	ENSG00000091262	ABCC6	368	ABCC6	Stim	16	0.76234	0.92643	1	17448	2	0.037143	0.30615	0.63747	1	12100	6	0.037143	0.333015287183614	12208	0.630494292650173
ABCC8	ENSG00000006071	ABCC8	6833	ABCC8	Stim	16	0.069149	0.25023	1	4344	8	-0.067682	0.33395	0.66717	1	12674	6	-0.067682	-0.545513981466146	4539	0.23438871959093
ABCC9	ENSG00000069431	ABCC9	10060	ABCC9	Stim	16	0.2085	0.50815	1	8977	6	0.086933	0.10835	0.34295	0.986218	6707	6	0.086933	0.750300975579241	15597	0.805536904085533
ABCD1	ENSG00000101986	ABCD1	215	ABCD1	Stim	16	0.9577	0.98765	1	18988	2	0.11827	0.016252	0.084535	0.899484	1808	10	0.11827	1.01293366522081	17055	0.880842931666753
ABCD2	ENSG00000173208	ABCD2	225	ABCD2	Stim	16	0.058593	0.22441	1	3948	6	-0.039066	0.84107	0.95724	1	18191	3	-0.039066	-0.305685757743927	6330	0.326894271990083
ABCD3	ENSG00000117528	ABCD3	5825	ABCD3	Stim	16	0.26747	0.58871	1	10462	7	-0.062393	0.7895	0.93985	1	17817	3	-0.062393	-0.501187329409016	4831	0.249470585197046
ABCD4	ENSG00000119688	ABCD4	5826	ABCD4	Stim	16	0.61472	0.8607	1	15975	2	0.15795	0.027917	0.13054	0.937696	2686	8	0.15795	1.34548831706934	18271	0.943649604875781
ABCE1	ENSG00000164163	ABCE1	6059	ABCE1	Stim	16	0.16522	0.44391	1	7771	7	-0.088216	0.30463	0.63575	1	12070	4	-0.088216	-0.717607661432319	3512	0.181343938846134
ABCF1	ENSG00000204574	ABCF1	23	ABCF1	Stim	16	1.2069e-08	2.5568e-07	8.7e-05	50	12	-0.47497	0.99178	0.99696	1	19176	1	-0.47497	-3.95895952184128	87	0.00444191932234905
ABCF2	ENSG00000033050	ABCF2	10061	ABCF2	Stim	16	0.12228	0.36896	1	6392	8	-0.098565	0.46609	0.77528	1	14608	4	-0.098565	-0.804341736331021	3077	0.158876091110996
ABCF3	ENSG00000161204	ABCF3	55324	ABCF3	Stim	16	0.048082	0.1935	1	3466	9	-0.13551	0.73269	0.92143	1	17432	3	-0.13551	-1.11397458946973	1957	0.101027839471102
ABCG1	ENSG00000160179	ABCG1	9619	ABCG1	Stim	16	0.020461	0.10087	0.951119	2044	5	-0.061365	0.076937	0.27504	0.974088	5445	5	-0.061365	-0.492571750223021	4885	0.252259697329683
ABCG2	ENSG00000118777	ABCG2	9429	ABCG2	Stim	16	0.024013	0.11369	0.986706	2216	6	-0.0036	0.78512	0.93847	1	17783	4	-0.0036	-0.00844827582709082	9002	0.464903672330975
ABCG4	ENSG00000172350	ABCG4	64137	ABCG4	Stim	16	0.5925	0.84833	1	15701	4	0.064177	0.21401	0.52186	1	10000	7	0.064177	0.559584905582638	14214	0.734104643355199
ABCG5	ENSG00000138075	ABCG5	64240	ABCG5	Stim	16	0.02618	0.12128	1	2332	9	-0.18499	0.36469	0.6934	1	13132	2	-0.18499	-1.52866219464779	1075.5	0.0554723413046847
ABCG8	ENSG00000143921	ABCG8	64241	ABCG8	Stim	16	0.37409	0.69397	1	12495	3	0.024893	0.70932	0.9116	1	17209	5	0.024893	0.230349095521706	11272	0.582149682351118
ABHD1	ENSG00000143994	ABHD1	84696	ABHD1	Stim	16	0.42873	0.74218	1	13483	5	0.014696	0.22651	0.53847	1	10296	5	0.014696	0.144888919490973	10471	0.540777852383658
ABHD10	ENSG00000144827	ABHD10	55347	ABHD10	Stim	16	0.05225	0.20627	1	3680	9	-0.14354	0.47966	0.78564	1	14806	5	-0.14354	-1.18127332571831	1768	0.0912659470068695
ABHD11	ENSG00000106077	ABHD11	83451	ABHD11	Stim	16	0.62981	0.86895	1	16141	2	0.1099	0.028844	0.13367	0.938166	2747	8	0.1099	0.94278541834651	16729.5	0.864004958421569
ABHD12	ENSG00000100997	ABHD12	26090	ABHD12	Stim	16	0.47292	0.77906	1	14237	5	0.065679	0.083119	0.2889	0.977774	5698	4	0.065679	0.572173037817428	14309	0.739011414699654
ABHD12B	ENSG00000131969	ABHD12B	145447	ABHD12B	Stim	16	0.055569	0.21644	1	3820	6	-0.047619	0.51322	0.81074	1	15293	6	-0.047619	-0.377367711807952	5728	0.29580083673364
ABHD13	ENSG00000139826	ABHD13	84945	ABHD13	Stim	16	0.22195	0.52711	1	9315	4	-0.027391	0.042879	0.17888	0.96454	3567	5	-0.027391	-0.207838591404925	7129	0.368162801508187
ABHD14A	ENSG00000248487	ABHD14A	25864	ABHD14A	Stim	16	0.19739	0.49202	1	8681	7	-0.030535	0.059187	0.22757	0.971833	4475	6	-0.030535	-0.234188183779214	6897	0.35617994938278
ABHD14B	ENSG00000114779	ABHD14B	84836	ABHD14B	Stim	16	0.086752	0.29162	1	5027	4	0.023397	0.091312	0.3069	0.983499	6020	7	0.023397	0.217811248768545	11177	0.577242911006663
ABHD15	ENSG00000168792	ABHD15	116236	ABHD15	Stim	16	0.12251	0.36946	1	6399	6	-0.064062	0.55919	0.83684	1	15822	3	-0.064062	-0.515175074215851	4737	0.244615464077269
ABHD16A	ENSG00000204427	ABHD16A	7920	ABHD16A	Stim	16	0.18715	0.47691	1	8384	7	-0.00092792	0.24586	0.56372	1	10778	4	-0.00092792	0.0139461957987012	9214	0.475853519962812
ABHD16B	ENSG00000183260	ABHD16B	140701	ABHD16B	Stim	16	0.19081	0.48232	1	8491	6	0.0059204	0.30846	0.64014	1	12147	5	0.0059204	0.071341374058463	9739	0.502969887919012
ABHD17A	ENSG00000129968	ABHD17A	81926	ABHD17A	Stim	16	0.35543	0.67692	1	12160	6	-0.073078	0.58874	0.85191	1	16114	3	-0.073078	-0.590737391279016	4267	0.220339858478384
ABHD17B	ENSG00000107362	ABHD17B	51104	ABHD17B	Stim	16	0.11766	0.35934	1	6231	6	0.098665	0.068656	0.25442	0.971833	5016	9	0.098665	0.848625853993731	16181	0.835700635297764
ABHD17C	ENSG00000136379	ABHD17C	58489	ABHD17C	Stim	16	0.16641	0.44575	1	7810	4	0.050133	0.18408	0.48065	1	9215	5	0.050133	0.441883354913263	13176	0.680491710138939
ABHD2	ENSG00000140526	ABHD2	11057	ABHD2	Stim	16	0.91255	0.97517	1	18682	2	0.25999	0.0038573	0.025607	0.790702	622	9	0.25999	2.20067674132903	19219	0.992614017870978
ABHD3	ENSG00000158201	ABHD3	171586	ABHD3	Stim	16	0.5124	0.80277	1	14733	5	-0.047421	0.1453	0.41568	0.999793	8026	5	-0.047421	-0.375708290914151	5745	0.296678890553174
ABHD4	ENSG00000100439	ABHD4	63874	ABHD4	Stim	16	0.12858	0.38174	1	6627	6	-0.061092	0.47822	0.78452	1	14781	2	-0.061092	-0.490283760808841	4899	0.252982800475182
ABHD5	ENSG00000011198	ABHD5	51099	ABHD5	Stim	16	0.018039	0.091814	0.931435	1890	9	-0.18056	0.33348	0.66675	1	12665	4	-0.18056	-1.4915347473774	1138	0.0587263054594288
ABHD6	ENSG00000163686	ABHD6	57406	ABHD6	Stim	16	0.32332	0.6469	1	11591	2	0.093674	0.10159	0.32886	0.98516	6431	8	0.093674	0.806796714190908	15948	0.823666132947678
ABHD8	ENSG00000127220	ABHD8	79575	ABHD8	Stim	16	0.15322	0.42531	1	7427	5	0.061596	0.3161	0.64905	1	12320	7	0.061596	0.537953767567994	14014	0.723774598419503
ABI1	ENSG00000136754	ABI1	10006	ABI1	Stim	16	0.93441	0.98172	1	18838	3	0.14268	0.012783	0.06958	0.885742	1515	9	0.14268	1.21751176632017	17846	0.921698259387428
ABI2	ENSG00000138443	ABI2	10152	ABI2	Stim	16	0.057884	0.2226	1	3915	7	0.021861	0.16547	0.45293	1	8703	8	0.021861	0.204938165471183	11058	0.571096534269924
ABI3	ENSG00000108798	ABI3	51225	ABI3	Stim	16	0.11193	0.34727	1	6022	8	-0.07776	0.29797	0.62792	1	11931	4	-0.07776	-0.629976828777877	3999	0.206497598264552
ABI3BP	ENSG00000154175	ABI3BP	25890	ABI3BP	Stim	16	0.22067	0.52535	1	9284	6	0.090579	0.10117	0.32793	0.98516	6413	8	0.090579	0.780857786583267	15788	0.815402096999122
ABL1	ENSG00000097007	ABL1	25	ABL1	Stim	16	0.37444	0.6943	1	12502	4	0.071708	0.55334	0.83379	1	15760	5	0.071708	0.622701565942297	14733	0.760911109963328
ABL2	ENSG00000143322	ABL2	27	ABL2	Stim	16	0.19423	0.48738	1	8596	5	0.04778	0.59171	0.85342	1	16152	5	0.04778	0.422163065200571	13005	0.67165952171892
ABLIM1	ENSG00000099204	ABLIM1	3983	ABLIM1	Stim	16	0.088566	0.29578	1	5101	5	0.058044	0.071816	0.2632	0.971833	5190	7	0.058044	0.508184762442843	13780	0.711688445844739
ABLIM2	ENSG00000163995	ABLIM2	84448	ABLIM2	Stim	16	0.99634	0.99732	1	19263	1	0.19042	0.0094614	0.054478	0.857452	1221	10	0.19042	1.61761658182544	18774	0.969629667889055
ABLIM3	ENSG00000173210	ABLIM3	22885	ABLIM3	Stim	16	0.27522	0.59863	1	10670	7	-0.041271	0.78338	0.93786	1	17770	4	-0.041271	-0.324165672243071	6172	0.318733536490884
ABO	ENSG00000175164	ABO	28	ABO	Stim	16	0.28326	0.60853	1	10870	5	0.1415	0.029958	0.13736	0.938166	2817	9	0.1415	1.20762228826621	17808	0.919735550849646
ABR	ENSG00000159842	ABR	29	ABR	Stim	16	0.19895	0.49428	1	8729	5	0.098877	0.076399	0.27386	0.972941	5424	8	0.098877	0.850402607678003	16196	0.836475388667941
ABRA	ENSG00000174429	ABRA	137735	ABRA	Stim	16	0.75572	0.92399	1	17394	3	0.12063	0.065157	0.2446	0.971833	4833	9	0.12063	1.03271262132874	17140	0.885233200764423
ABRACL	ENSG00000146386	ABRACL	58527	ABRACL	Stim	16	0.084325	0.28606	1	4939	7	-0.053323	0.61997	0.86761	1	16408	5	-0.053323	-0.425172443011179	5348	0.276173751355818
ABT1	ENSG00000146109	ABT1	29777	ABT1	Stim	12	0.0024834	0.015565	0.429558	734	9	-0.23925	0.42964	0.72089	1	14085	2	-0.23925	-1.98341056685801	596	0.030731883683694
ABTB1	ENSG00000114626	ABTB1	80325	ABTB1	Stim	16	0.03557	0.15332	1	2792	3	0.016569	0.2106	0.51728	1	9919	6	0.016569	0.160586370673238	10642	0.549610040803677
ABTB2	ENSG00000166016	ABTB2	25841	ABTB2	Stim	16	0.23956	0.55163	1	9752	6	-0.022083	0.3516	0.68232	1	12937	6	-0.022083	-0.163352701989299	7553	0.390062496771861
ACAA1	ENSG00000060971	ACAA1	30	ACAA1	Stim	16	0.46901	0.77584	1	14177	6	0.21656	0.014784	0.078303	0.898424	1673	9	0.21656	1.83669366346154	19019	0.982283972935282
ACAA2	ENSG00000167315	ACAA2	10449	ACAA2	Stim	16	0.14653	0.41476	1	7238	5	-0.006371	0.062908	0.23825	0.971833	4702	5	-0.006371	-0.0316717874266948	8795	0.45421207582253
ACACA	ENSG00000278540	ACACA	31	ACACA	Stim	16	0.86201	0.96212	1	18306	2	0.14391	0.006859	0.042283	0.835193	971	11	0.14391	1.22782029005439	17887	0.923815918599246
ACACB	ENSG00000076555	ACACB	32	ACACB	Stim	16	0.41845	0.73333	1	13295	6	0.026049	0.068167	0.25309	0.971833	4988	5	0.026049	0.240037431649148	11361	0.586746552347503
ACAD10	ENSG00000111271	ACAD10	80724	ACAD10	Stim	16	0.60789	0.85696	1	15894	2	0.21033	0.0054307	0.034448	0.821207	806	9	0.21033	1.78448057170206	18952.5	0.978823407881824
ACAD11	ENSG00000240303	ACAD11	84129	ACAD11	Stim	16	0.29172	0.61673	1	11006	6	0.030321	0.062379	0.23678	0.971833	4680	6	0.030321	0.275840694569938	11701	0.604307628738185
ACAD8	ENSG00000151498	ACAD8	27034	ACAD8	Stim	16	0.49189	0.79079	1	14473	4	0.059491	0.23746	0.55294	1	10575	7	0.059491	0.520311944429356	13866	0.716130365167089
ACAD9	ENSG00000177646	ACAD9	28976	ACAD9	Stim	16	0.43807	0.7501	1	13674	6	0.019916	0.23028	0.54348	1	10389	5	0.019916	0.188637288509353	10912	0.563555601466866
ACADL	ENSG00000115361	ACADL	33	ACADL	Stim	16	0.0019488	0.013914	0.406965	661	9	-0.27828	0.91983	0.97899	1	18651	3	-0.27828	-2.31051762486326	424	0.0218480450389959
ACADM	ENSG00000117054	ACADM	34	ACADM	Stim	16	0.11056	0.34434	1	5976	5	-0.018556	0.29056	0.61899	1	11768	4	-0.018556	-0.133793219704275	7811	0.403388254738908
ACADS	ENSG00000122971	ACADS	35	ACADS	Stim	16	0.49647	0.79346	1	14532	5	0.023919	0.30492	0.6361	1	12079	7	0.023919	0.222186085670383	11206	0.578740767522339
ACADSB	ENSG00000196177	ACADSB	36	ACADSB	Stim	16	0.2235	0.52933	1	9351	7	-0.1318	0.85106	0.9607	1	18271	1	-0.1318	-1.08288139999498	2047	0.105676359692165
ACADVL	ENSG00000072778	ACADVL	37	ACADVL	Stim	16	0.12676	0.37805	1	6563	6	-0.1014	0.13334	0.39283	0.995266	7624	6	-0.1014	-0.828101626401348	2955	0.152574763700222
ACAN	ENSG00000157766	ACAN	176	ACAN	Stim	16	0.20635	0.50503	1	8917	7	-0.13137	0.7547	0.92847	1	17576	2	-0.13137	-1.07927760714481	2053.5	0.105986261040236
ACAP1	ENSG00000072818	ACAP1	9744	ACAP1	Stim	16	0.00087135	0.007008	0.266578	505	10	-0.22943	0.80577	0.94523	1	17923	2	-0.22943	-1.90110999525638	655	0.0337792469397242
ACAP2	ENSG00000114331	ACAP2	23527	ACAP2	Stim	16	0.029438	0.13274	1	2505	8	-0.10462	0.79754	0.9425	1	17879	3	-0.10462	-0.855088168209621	2827	0.145963534941377
ACAP3	ENSG00000131584	ACAP3	116983	ACAP3	Stim	16	0.72865	0.91395	1	17130	4	-0.016154	0.2593	0.58064	1	11099	5	-0.016154	-0.113662265224936	8024	0.414389752595424
ACAT1	ENSG00000075239	ACAT1	38	ACAT1	Stim	16	0.0020927	0.014834	0.420517	681	11	-0.21346	0.87747	0.96948	1	18457	3	-0.21346	-1.76726680498367	768	0.0396157223283921
ACAT2	ENSG00000120437	ACAT2	39	ACAT2	Stim	16	0.027649	0.12651	1	2421	8	-0.1052	0.67691	0.89579	1	16928	5	-0.1052	-0.859949098100552	2811	0.145137131346521
ACBD3	ENSG00000182827	ACBD3	64746	ACBD3	Stim	16	0.55596	0.82765	1	15233	5	-0.048126	0.83118	0.95392	1	18115	2	-0.048126	-0.381616835005714	5700	0.294354630442642
ACBD4	ENSG00000181513	ACBD4	79777	ACBD4	Stim	16	0.58804	0.84583	1	15639	3	0.072985	0.046019	0.18846	0.96454	3758	8	0.072985	0.633403992615951	14813	0.765043127937607
ACBD5	ENSG00000107897	ACBD5	91452	ACBD5	Stim	16	0.74601	0.92037	1	17293	3	0.054581	0.10525	0.33648	0.98516	6575	6	0.054581	0.479161658628542	13533	0.698930840349156
