id	ensembl_gene_id	hgnc_symbol	entrezgene_id	official	Enrichment	pos.rank	neg.rank
CTBP2	ENSG00000175029	CTBP2	1488	CTBP2	-1.8346	18815	90
TMEM219	ENSG00000149932	TMEM219	124446	TMEM219	-1.8314	18814	91
EEF1B2	ENSG00000114942	EEF1B2	1933	EEF1B2	-1.82595	18813	92
STK32A	ENSG00000169302	STK32A	202374	STK32A	-1.825825	18812	93
DMRTA2	ENSG00000142700	DMRTA2	63950	DMRTA2	-1.82335	18811	94
GTSF1	ENSG00000170627	GTSF1	121355	GTSF1	-1.82275	18810	95
A4GNT	ENSG00000118017	A4GNT	51146	A4GNT	-1.8212	18809	96
RABGGTB	ENSG00000137955	RABGGTB	5876	RABGGTB	-1.8196	18808	97
CNTN4	ENSG00000144619	CNTN4	152330	CNTN4	-1.813901	18807	98
RTTN	ENSG00000176225	RTTN	25914	RTTN	-1.81256	18806	99
PPP1R3B	ENSG00000173281	PPP1R3B	79660	PPP1R3B	-1.8103	18805	100
LDLRAP1	ENSG00000157978	LDLRAP1	26119	LDLRAP1	-1.8091	18804	101
PRRG3	ENSG00000130032	PRRG3	79057	PRRG3	-1.80899	18803	102
NDUFAF5	ENSG00000101247	NDUFAF5	79133	NDUFAF5	-1.80505	18802	103
SPATA20	ENSG00000006282	SPATA20	64847	SPATA20	-1.79595	18801	104
MTRNR2L1	NA	MTRNR2L1	NA	MTRNR2L1	-1.79532	18800	105
HNRNPC	ENSG00000092199	HNRNPC	3183	HNRNPC	-1.7913	18799	106
TXNDC12	ENSG00000117862	TXNDC12	51060	TXNDC12	-1.790125	18798	107
PROX2	ENSG00000119608	PROX2	283571	PROX2	-1.789575	18797	108
RAB11A	ENSG00000103769	RAB11A	8766	RAB11A	-1.78115	18796	109
UBXN8	ENSG00000104691	UBXN8	7993	UBXN8	-1.780347	18795	110
ERICH5	ENSG00000177459	ERICH5	203111	ERICH5	-1.778425	18794	111
POTEB	ENSG00000233917	POTEB	100996331	POTEB	-1.77385	18793	112
MAF	ENSG00000178573	MAF	4094	MAF	-1.76242	18792	113
PLA2G2F	ENSG00000158786	PLA2G2F	64600	PLA2G2F	-1.759605	18791	114
SLC6A3	ENSG00000142319	SLC6A3	6531	SLC6A3	-1.75895	18790	115
TMEM42	ENSG00000169964	TMEM42	131616	TMEM42	-1.758215	18789	116
ERBB2	ENSG00000141736	ERBB2	2064	ERBB2	-1.75781	18788	117
APC	ENSG00000134982	APC	324	APC	-1.748905	18787	118
FANCD2OS	ENSG00000163705	FANCD2OS	115795	FANCD2OS	-1.748645	18786	119
OR7A10	ENSG00000127515	OR7A10	390892	OR7A10	-1.74335	18785	120
TRNT1	ENSG00000072756	TRNT1	51095	TRNT1	-1.742715	18784	121
ADAM19	ENSG00000135074	ADAM19	8728	ADAM19	-1.740275	18783	122
ZNF341	ENSG00000131061	ZNF341	84905	ZNF341	-1.732265	18782	123
HINT1	ENSG00000169567	HINT1	3094	HINT1	-1.729665	18781	124
EPM2A	ENSG00000112425	EPM2A	7957	EPM2A	-1.720305	18780	125
IFITM5	ENSG00000206013	IFITM5	387733	IFITM5	-1.72018	18779	126
CORO1A	ENSG00000102879	CORO1A	11151	CORO1A	-1.71957	18778	127
ZNF852	ENSG00000178917	ZNF852	285346	ZNF852	-1.7193	18777	128
TM2D2	ENSG00000169490	TM2D2	83877	TM2D2	-1.71455	18776	129
HTATSF1	ENSG00000102241	HTATSF1	27336	HTATSF1	-1.71255	18775	130
PDS5B	ENSG00000083642	PDS5B	23047	PDS5B	-1.7119	18774	131
TMEM147	ENSG00000105677	TMEM147	10430	TMEM147	-1.7064	18773	132
SMIM6	ENSG00000259120	SMIM6	100130933	SMIM6	-1.70246	18772	133
POLR2C	ENSG00000102978	POLR2C	5432	POLR2C	-1.69625	18771	134
NDN	ENSG00000182636	NDN	4692	NDN	-1.69585	18770	135
WHSC1	ENSG00000109685	NSD2	7468	NSD2	-1.6949	18769	136
FLG2	ENSG00000143520	FLG2	388698	FLG2	-1.694705	18768	137
PPA1	ENSG00000180817	PPA1	5464	PPA1	-1.693335	18767	138
C14orf178	ENSG00000197734	C14orf178	283579	C14orf178	-1.6876	18766	139
SYT10	ENSG00000110975	SYT10	341359	SYT10	-1.6861	18765	140
SFXN3	ENSG00000107819	SFXN3	81855	SFXN3	-1.68117	18764	141
ZC3H15	ENSG00000065548	ZC3H15	55854	ZC3H15	-1.680145	18763	142
KIAA0196	ENSG00000164961	WASHC5	9897	WASHC5	-1.6776	18762	143
FAM73A	ENSG00000180488	MIGA1	374986	MIGA1	-1.6718	18761	144
ZNF737	ENSG00000237440	ZNF737	100129842	ZNF737	-1.671285	18760	145
DPH6	ENSG00000134146	DPH6	89978	DPH6	-1.66862	18759	146
HP1BP3	ENSG00000127483	HP1BP3	50809	HP1BP3	-1.66786	18758	147
MS4A6A	ENSG00000110077	MS4A6A	64231	MS4A6A	-1.66185	18757	148
CST7	ENSG00000077984	CST7	8530	CST7	-1.661	18756	149
CALML6	ENSG00000169885	CALML6	163688	CALML6	-1.65785	18755	150
NUP133	ENSG00000069248	NUP133	55746	NUP133	-1.65345	18754	151
UQCC3	ENSG00000204922	UQCC3	790955	UQCC3	-1.65205	18753	152
GLIPR2	ENSG00000122694	GLIPR2	152007	GLIPR2	-1.6502	18752	153
ZMYND8	ENSG00000101040	ZMYND8	23613	ZMYND8	-1.64755	18751	154
MYEOV2	ENSG00000172428	COPS9	150678	COPS9	-1.64612	18750	155
BET1	ENSG00000105829	BET1	10282	BET1	-1.645815	18749	156
GABRA2	ENSG00000151834	GABRA2	2555	GABRA2	-1.645775	18748	157
CDS2	ENSG00000101290	CDS2	8760	CDS2	-1.64106	18747	158
PYHIN1	ENSG00000163564	PYHIN1	149628	PYHIN1	-1.63965	18746	159
KIFC2	ENSG00000167702	KIFC2	90990	KIFC2	-1.63875	18744	160
PLSCR5	ENSG00000231213	PLSCR5	389158	PLSCR5	-1.63875	18745	161
C1orf123	ENSG00000162384	CZIB	54987	CZIB	-1.637445	18743	162
GPATCH1	ENSG00000076650	GPATCH1	55094	GPATCH1	-1.63545	18742	163
F10	ENSG00000126218	F10	2159	F10	-1.6345	18741	164
DOLK	ENSG00000175283	DOLK	22845	DOLK	-1.6333	18740	165
SCLT1	ENSG00000151466	SCLT1	132320	SCLT1	-1.632845	18739	166
IGF2R	ENSG00000197081	IGF2R	3482	IGF2R	-1.63125	18738	167
JAK3	ENSG00000105639	JAK3	3718	JAK3	-1.629415	18737	168
TPT1	ENSG00000133112	TPT1	7178	TPT1	-1.62779	18736	169
RPP40	ENSG00000124787	RPP40	10799	RPP40	-1.6271	18735	170
TOR1AIP2	ENSG00000169905	TOR1AIP2	163590	TOR1AIP2	-1.62574	18734	171
APOC2	ENSG00000234906	APOC2	344	APOC2	-1.6218	18733	172
FAM214B	ENSG00000005238	ATOSB	80256	ATOSB	-1.621775	18732	173
STX5	ENSG00000162236	STX5	6811	STX5	-1.61815	18731	174
TIFA	ENSG00000145365	TIFA	92610	TIFA	-1.614695	18730	175
CHODL	ENSG00000154645	CHODL	140578	CHODL	-1.6141	18729	176
POU2F3	ENSG00000137709	POU2F3	25833	POU2F3	-1.6126	18728	177
RBM28	ENSG00000106344	RBM28	55131	RBM28	-1.610985	18727	178
TAT	ENSG00000198650	TAT	6898	TAT	-1.610454	18726	179
FNDC7	ENSG00000143107	FNDC7	163479	FNDC7	-1.610285	18725	180
OR2M2	ENSG00000198601	OR2M2	391194	OR2M2	-1.609675	18724	181
RAD51C	ENSG00000108384	RAD51C	5889	RAD51C	-1.605075	18723	182
ZSCAN23	ENSG00000187987	ZSCAN23	222696	ZSCAN23	-1.600475	18722	183
INTS5	ENSG00000185085	INTS5	80789	INTS5	-1.598495	18721	184
AMIGO3	ENSG00000176020	AMIGO3	386724	AMIGO3	-1.59845	18720	185
ZFP36	ENSG00000128016	ZFP36	7538	ZFP36	-1.59595	18719	186
LIFR	ENSG00000113594	LIFR	3977	LIFR	-1.595875	18718	187
DHCR7	ENSG00000172893	DHCR7	1717	DHCR7	-1.5944	18717	188
TMEM238	ENSG00000233493	TMEM238	388564	TMEM238	-1.59258	18716	189
MAOA	ENSG00000189221	MAOA	4128	MAOA	-1.590455	18715	190
KLF6	ENSG00000067082	KLF6	1316	KLF6	-1.58995	18714	191
SPINT3	ENSG00000101446	SPINT3	10816	SPINT3	-1.58917	18713	192
KLF2	ENSG00000127528	KLF2	10365	KLF2	-1.58785	18712	193
SPINK5	ENSG00000133710	SPINK5	11005	SPINK5	-1.5867	18711	194
RTBDN	ENSG00000132026	RTBDN	83546	RTBDN	-1.58667	18710	195
RASSF7	ENSG00000099849	RASSF7	8045	RASSF7	-1.58535	18709	196
MRAP	ENSG00000170262	MRAP	56246	MRAP	-1.58315	18708	197
ARL17B	ENSG00000228696	ARL17B	100506084	ARL17B	-1.582645	18707	198
RPF2	ENSG00000197498	RPF2	84154	RPF2	-1.5805375	18706	199
LOC200726	NA	NA	NA	NA	-1.5797	18705	200
PPFIBP1	ENSG00000110841	PPFIBP1	8496	PPFIBP1	-1.57938	18704	201
TWISTNB	ENSG00000105849	POLR1F	221830	POLR1F	-1.579	18703	202
ZNF20	ENSG00000132010	ZNF20	7568	ZNF20	-1.578955	18702	203
KISS1	ENSG00000170498	KISS1	3814	KISS1	-1.57825	18701	204
WDR78	ENSG00000152763	DNAI4	79819	DNAI4	-1.57774	18700	205
SAP30BP	ENSG00000161526	SAP30BP	29115	SAP30BP	-1.577085	18699	206
ZNF776	ENSG00000152443	ZNF776	284309	ZNF776	-1.57645	18698	207
APOL1	ENSG00000100342	APOL1	8542	APOL1	-1.57505	18697	208
DUSP19	ENSG00000162999	DUSP19	142679	DUSP19	-1.5748	18696	209
C1orf177	ENSG00000162398	CIMAP2	163747	CIMAP2	-1.5747	18695	210
DYNC1I1	ENSG00000158560	DYNC1I1	1780	DYNC1I1	-1.57426	18694	211
ACSS3	ENSG00000111058	ACSS3	79611	ACSS3	-1.5736	18693	212
FNTB	ENSG00000257365	FNTB	2342	FNTB	-1.573095	18692	213
PYGO2	ENSG00000163348	PYGO2	90780	PYGO2	-1.572995	18691	214
TPH1	ENSG00000129167	TPH1	7166	TPH1	-1.57291	18690	215
VPS25	ENSG00000131475	VPS25	84313	VPS25	-1.57265	18689	216
IDE	ENSG00000119912	IDE	3416	IDE	-1.57124	18688	217
MAPK7	ENSG00000166484	MAPK7	5598	MAPK7	-1.57109	18687	218
HIST1H2AJ	ENSG00000276368	H2AC14	8331	H2AC14	-1.57066	18686	219
PSMA7	ENSG00000101182	PSMA7	5688	PSMA7	-1.5702	18685	220
TMEM108	ENSG00000144868	TMEM108	66000	TMEM108	-1.56981	18684	221
ADAM9	ENSG00000168615	ADAM9	8754	ADAM9	-1.56777	18683	222
GRWD1	ENSG00000105447	GRWD1	83743	GRWD1	-1.5674	18682	223
TK1	ENSG00000167900	TK1	7083	TK1	-1.5636	18681	224
PRCC	ENSG00000143294	PRCC	5546	PRCC	-1.56315	18680	225
C21orf62	ENSG00000205929	C21orf62	56245	C21orf62	-1.56307	18679	226
CRABP2	ENSG00000143320	CRABP2	1382	CRABP2	-1.5629	18678	227
POMZP3	ENSG00000146707	POMZP3	22932	POMZP3	-1.5628	18677	228
PROSER2	ENSG00000148426	PROSER2	254427	PROSER2	-1.5619	18676	229
IRF1	ENSG00000125347	IRF1	3659	IRF1	-1.55868	18675	230
GJC1	ENSG00000182963	GJC1	10052	GJC1	-1.554335	18674	231
GP1BA	ENSG00000185245	GP1BA	2811	GP1BA	-1.55395	18673	232
SLC26A8	ENSG00000112053	SLC26A8	116369	SLC26A8	-1.5439	18672	233
HAMP	ENSG00000105697	HAMP	57817	HAMP	-1.54386	18671	234
MRVI1	ENSG00000072952	IRAG1	10335	IRAG1	-1.54251	18670	235
KRT10	ENSG00000186395	KRT10	3858	KRT10	-1.5419	18669	236
C1orf86	ENSG00000162585	FAAP20	199990	FAAP20	-1.540335	18668	237
SMCP	ENSG00000163206	SMCP	4184	SMCP	-1.53985	18667	238
HSF4	ENSG00000102878	HSF4	3299	HSF4	-1.5365	18666	239
IRG1	ENSG00000102794	ACOD1	730249	ACOD1	-1.53531	18665	240
AACS	ENSG00000081760	AACS	65985	AACS	-1.535075	18664	241
TRIB1	ENSG00000173334	TRIB1	10221	TRIB1	-1.53303	18663	242
LGALS16	ENSG00000249861	LGALS16	148003	LGALS16	-1.532515	18662	243
SRRT	ENSG00000087087	SRRT	51593	SRRT	-1.527445	18661	244
HIST1H4F	ENSG00000274618	H4C6	8361	H4C6	-1.526475	18660	245
ZNF556	ENSG00000172000	ZNF556	80032	ZNF556	-1.525055	18659	246
NUTM2F	ENSG00000130950	NUTM2F	54754	NUTM2F	-1.521555	18658	247
TPH2	ENSG00000139287	TPH2	121278	TPH2	-1.520845	18657	248
CCNL1	ENSG00000163660	CCNL1	57018	CCNL1	-1.5205795	18656	249
TNFRSF8	ENSG00000120949	TNFRSF8	943	TNFRSF8	-1.520235	18655	250
SIRT5	ENSG00000124523	SIRT5	23408	SIRT5	-1.5186	18654	251
RGS16	ENSG00000143333	RGS16	6004	RGS16	-1.515445	18653	252
FARSB	ENSG00000116120	FARSB	10056	FARSB	-1.51466	18652	253
TFB1M	ENSG00000029639	TFB1M	51106	TFB1M	-1.514455	18651	254
HES7	ENSG00000179111	HES7	84667	HES7	-1.509655	18650	255
POPDC3	ENSG00000132429	POPDC3	64208	POPDC3	-1.5077	18649	256
CHRND	ENSG00000135902	CHRND	1144	CHRND	-1.50714	18648	257
MOAP1	ENSG00000165943	MOAP1	64112	MOAP1	-1.506815	18647	258
FAM131A	ENSG00000175182	FAM131A	131408	FAM131A	-1.505835	18646	259
GYS1	ENSG00000104812	GYS1	2997	GYS1	-1.50565	18645	260
OTUD7A	ENSG00000169918	OTUD7A	161725	OTUD7A	-1.50185	18644	261
KBTBD11	ENSG00000176595	KBTBD11	9920	KBTBD11	-1.501765	18643	262
XYLT2	ENSG00000015532	XYLT2	64132	XYLT2	-1.49958	18642	263
TRIM49D1	ENSG00000223417	TRIM49D1	399939	TRIM49D1	-1.49925	18641	264
PDCD1LG2	ENSG00000197646	PDCD1LG2	80380	PDCD1LG2	-1.49668	18640	265
AEN	ENSG00000181026	AEN	64782	AEN	-1.49556	18639	266
IVNS1ABP	ENSG00000116679	IVNS1ABP	10625	IVNS1ABP	-1.495355	18638	267
INTS1	ENSG00000164880	INTS1	26173	INTS1	-1.493	18637	268
PRRC1	ENSG00000164244	PRRC1	133619	PRRC1	-1.4895225	18636	269
RWDD4	ENSG00000182552	RWDD4	201965	RWDD4	-1.48935	18635	270
C4orf33	ENSG00000151470	C4orf33	132321	C4orf33	-1.488005	18634	271
PPAPDC1B	ENSG00000147535	PLPP5	84513	PLPP5	-1.4871	18633	272
MXI1	ENSG00000119950	MXI1	4601	MXI1	-1.486	18632	273
ZWILCH	ENSG00000174442	ZWILCH	55055	ZWILCH	-1.4843	18631	274
PSAPL1	ENSG00000178597	PSAPL1	768239	PSAPL1	-1.483	18630	275
CAP2	ENSG00000112186	CAP2	10486	CAP2	-1.48215	18629	276
GAGE12J	ENSG00000224659	GAGE12J	729396	GAGE12J	-1.479793	18628	277
APBB2	ENSG00000163697	APBB2	323	APBB2	-1.477545	18627	278
BROX	ENSG00000162819	BROX	148362	BROX	-1.47705	18626	279
TMEM115	ENSG00000126062	TMEM115	11070	TMEM115	-1.47703	18625	280
GCM1	ENSG00000137270	GCM1	8521	GCM1	-1.475725	18624	281
NONO	ENSG00000147140	NONO	4841	NONO	-1.47543	18623	282
WDR92	ENSG00000243667	DNAAF10	116143	DNAAF10	-1.475355	18622	283
MPP2	ENSG00000108852	MPP2	4355	MPP2	-1.473485	18621	284
ZNF407	ENSG00000215421	ZNF407	55628	ZNF407	-1.472935	18620	285
MLXIP	ENSG00000175727	MLXIP	22877	MLXIP	-1.47132	18619	286
ATP5J	ENSG00000154723	ATP5PF	522	ATP5PF	-1.47035	18618	287
NUDT1	ENSG00000106268	NUDT1	4521	NUDT1	-1.46892	18617	288
CISD1	ENSG00000122873	CISD1	55847	CISD1	-1.46585	18616	289
TESC	ENSG00000088992	TESC	54997	TESC	-1.46571	18615	290
TDRKH	ENSG00000182134	TDRKH	11022	TDRKH	-1.4657	18614	291
PLD1	ENSG00000075651	PLD1	5337	PLD1	-1.46555	18613	292
RAB12	ENSG00000206418	RAB12	201475	RAB12	-1.46464	18612	293
RILPL2	ENSG00000150977	RILPL2	196383	RILPL2	-1.462865	18611	294
FMNL3	ENSG00000161791	FMNL3	91010	FMNL3	-1.458475	18610	295
GDF6	ENSG00000156466	GDF6	392255	GDF6	-1.45826	18609	296
PTK7	ENSG00000112655	PTK7	5754	PTK7	-1.45804	18608	297
GGPS1	ENSG00000152904	GGPS1	9453	GGPS1	-1.456975	18607	298
BICD2	ENSG00000185963	BICD2	23299	BICD2	-1.45685	18606	299
ZNF808	ENSG00000198482	ZNF808	388558	ZNF808	-1.45503	18605	300
PMVK	ENSG00000163344	PMVK	10654	PMVK	-1.45409	18604	301
BDP1	ENSG00000145734	BDP1	55814	BDP1	-1.45384	18603	302
IGSF9B	ENSG00000080854	IGSF9B	22997	IGSF9B	-1.45091	18602	303
GREM1	ENSG00000166923	GREM1	26585	GREM1	-1.44995	18601	304
FAP	ENSG00000078098	FAP	2191	FAP	-1.44986	18600	305
CYP4Z1	ENSG00000186160	CYP4Z1	199974	CYP4Z1	-1.449855	18599	306
LRRC66	ENSG00000188993	LRRC66	339977	LRRC66	-1.44926	18598	307
SNAP29	ENSG00000099940	SNAP29	9342	SNAP29	-1.44898	18597	308
ITM2C	ENSG00000135916	ITM2C	81618	ITM2C	-1.44765	18596	309
ZNF623	ENSG00000183309	ZNF623	9831	ZNF623	-1.444205	18595	310
C20orf27	ENSG00000101220	ADISSP	54976	ADISSP	-1.44365	18594	311
SPTSSA	ENSG00000165389	SPTSSA	171546	SPTSSA	-1.442925	18593	312
SNX31	ENSG00000174226	SNX31	169166	SNX31	-1.442515	18592	313
SIAE	ENSG00000110013	SIAE	54414	SIAE	-1.44032	18591	314
RPL23	ENSG00000125691	RPL23	9349	RPL23	-1.43995	18590	315
C16orf46	ENSG00000166455	C16orf46	123775	C16orf46	-1.4399	18589	316
PRRG1	ENSG00000130962	PRRG1	5638	PRRG1	-1.43917	18588	317
SLBP	ENSG00000163950	SLBP	7884	SLBP	-1.439035	18587	318
PCNP	ENSG00000081154	PCNP	57092	PCNP	-1.43835	18586	319
CDKL3	ENSG00000006837	CDKL3	51265	CDKL3	-1.43723	18585	320
TMEM204	ENSG00000131634	TMEM204	79652	TMEM204	-1.43695	18584	321
PKD1	ENSG00000008710	PKD1	5310	PKD1	-1.434875	18583	322
CCDC12	ENSG00000160799	CCDC12	151903	CCDC12	-1.43474	18582	323
PRDX2	ENSG00000167815	PRDX2	7001	PRDX2	-1.4323385	18581	324
INPP1	ENSG00000151689	INPP1	3628	INPP1	-1.431435	18580	325
SMC6	ENSG00000163029	SMC6	79677	SMC6	-1.430435	18579	326
TRPT1	ENSG00000149743	TRPT1	83707	TRPT1	-1.429795	18578	327
ASAP2	ENSG00000151693	ASAP2	8853	ASAP2	-1.429135	18577	328
PDZD11	ENSG00000120509	PDZD11	51248	PDZD11	-1.428355	18576	329
CA7	ENSG00000168748	CA7	766	CA7	-1.427635	18575	330
TYMS	ENSG00000176890	TYMS	7298	TYMS	-1.4273	18574	331
DLL3	ENSG00000090932	DLL3	10683	DLL3	-1.427195	18573	332
TBX6	ENSG00000149922	TBX6	6911	TBX6	-1.4271725	18572	333
PREB	ENSG00000138073	PREB	10113	PREB	-1.42715	18571	334
MS4A8	ENSG00000166959	MS4A8	83661	MS4A8	-1.426526	18570	335
TRHDE	ENSG00000072657	TRHDE	29953	TRHDE	-1.425855	18569	336
POTEM	ENSG00000222036	POTEM	641455	POTEM	-1.4253	18568	337
AKAP2	ENSG00000157654	PALM2AKAP2	445815	PALM2AKAP2	-1.424315	18567	338
RPGRIP1L	ENSG00000103494	RPGRIP1L	23322	RPGRIP1L	-1.424285	18566	339
PKDCC	ENSG00000162878	PKDCC	91461	PKDCC	-1.423805	18565	340
C1orf95	ENSG00000203685	STUM	375057	STUM	-1.42315	18564	341
IKZF1	ENSG00000185811	IKZF1	10320	IKZF1	-1.42295	18563	342
VPS54	ENSG00000143952	VPS54	51542	VPS54	-1.4224	18562	343
MPI	ENSG00000178802	MPI	4351	MPI	-1.420545	18561	344
